model,feature,quintile,n,actual_fail_rate,false_negative_rate,false_positive_rate
M0,R01,1,8874,0.5838404327248141,0.48504149778035127,0.21148118061196858
M0,R01,2,1186,0.7563237774030354,0.3311036789297659,0.314878892733564
M0,R01,3,1065,0.7126760563380282,0.525691699604743,0.37254901960784315
M0,R01,4,526,0.7870722433460076,0.5024154589371981,0.4017857142857143
M0,R01,5,151,0.6622516556291391,0.6,0.29411764705882354
M0,R05,1,984,0.7459349593495935,0.40735694822888285,0.352
M0,R05,2,650,0.7876923076923077,0.443359375,0.4492753623188406
M0,R05,3,1482,0.7516869095816464,0.36894075403949733,0.35054347826086957
M0,R05,4,1531,0.7419986936642717,0.4753521126760563,0.35443037974683544
M0,R05,5,7155,0.5387840670859538,0.5188067444876784,0.19
M1,R01,1,8874,0.5838404327248141,0.5161165798108474,0.19388031410777146
M1,R01,2,1186,0.7563237774030354,0.3177257525083612,0.3079584775086505
M1,R01,3,1065,0.7126760563380282,0.4150197628458498,0.3627450980392157
M1,R01,4,526,0.7870722433460076,0.3864734299516908,0.36607142857142855
M1,R01,5,151,0.6622516556291391,0.47,0.23529411764705882
M1,R05,1,984,0.7459349593495935,0.41553133514986373,0.284
M1,R05,2,650,0.7876923076923077,0.34375,0.4420289855072464
M1,R05,3,1482,0.7516869095816464,0.3868940754039497,0.34782608695652173
M1,R05,4,1531,0.7419986936642717,0.4005281690140845,0.39746835443037976
M1,R05,5,7155,0.5387840670859538,0.548378728923476,0.16727272727272727
