model,bin_low,bin_high,n,predicted_mean,actual_failure
M0,0.4,0.6,2156,0.5550244143846305,0.30241187384044527
M0,0.6,0.8,7898,0.7103679363017122,0.660420359584705
M0,0.8,1.0001,1748,0.8501640385169154,0.8483981693363845
M1,0.0,0.2,10,0.16018830220858496,0.2
M1,0.2,0.4,308,0.34940780481772515,0.18181818181818182
M1,0.4,0.6,2120,0.514765752602249,0.31745283018867926
M1,0.6,0.8,6808,0.705153295815184,0.6661280846063454
M1,0.8,1.0001,2556,0.858222173204412,0.8157276995305164
