fold,test_year,model,F_DAYS_UNDERWATER,F_RET20,F_REB5,F_INTRADAY_RANGE
1,2021,M0,0.15575124052040706,,,
1,2021,M1,0.45677405953532463,-0.5576549306193886,-0.012491131374709098,-0.3255175287495403
2,2022,M0,0.33694254192661033,,,
2,2022,M1,0.47592211381983257,-0.24299787865713493,-0.0496748846126554,-0.1541870665361937
3,2023,M0,0.48926925508289504,,,
3,2023,M1,0.5347565392418213,-0.13716023182912554,0.001007431454858864,-0.24508215687150067
4,2024,M0,0.5776589861201477,,,
4,2024,M1,0.6051043352531292,-0.14168666939618133,0.0003416693540523727,-0.2849617114530293
