fold,test_year,model,target,threshold,auc,pr_auc,n,n_pos,tpr,fpr,precision,specificity,predicted_positive_rate,tp,fp,tn,fn,point_ev
1,2021,M0,T50,0.7925628709463527,0.5778246532423512,0.7509953631958651,1804,1212,0.41006600660066006,0.32094594594594594,0.7234352256186317,0.6790540540540541,0.380820399113082,497,190,402,715,-0.2671684248132583
1,2021,M0,T75,0.7725491473348765,0.5778246532423512,0.7509953631958651,1804,1212,0.7681518151815182,0.7077702702702703,0.6896296296296296,0.2922297297297297,0.7483370288248337,931,419,173,281,-0.7864032771380616
1,2021,M0,T90,0.759122168618589,0.5778246532423512,0.7509953631958651,1804,1212,0.9207920792079208,0.8868243243243243,0.680073126142596,0.11317567567567567,0.9096452328159645,1116,525,67,96,-1.0457404867531863
1,2021,M1,T50,0.8131062529010249,0.5871284341271965,0.7409143968886941,1804,1212,0.528052805280528,0.3969594594594595,0.7314285714285714,0.6030405405405406,0.48503325942350334,640,235,357,572,-0.30021922076057306
1,2021,M1,T75,0.770837954048884,0.5871284341271965,0.7409143968886941,1804,1212,0.7722772277227723,0.6908783783783784,0.695910780669145,0.3091216216216216,0.7455654101995566,936,409,183,276,-0.735101917916867
1,2021,M1,T90,0.6955434286721801,0.5871284341271965,0.7409143968886941,1804,1212,0.9381188118811881,0.9037162162162162,0.6800239234449761,0.09628378378378379,0.926829268292683,1137,535,57,75,-1.0659666898761964
2,2022,M0,T50,0.7097530731173067,0.6458773860643019,0.7480889377538348,3542,2247,0.4948820649755229,0.3111969111969112,0.733993399339934,0.6888030888030888,0.4277244494635799,1112,403,892,1135,-0.1181463367955572
2,2022,M0,T75,0.6677695332612512,0.6458773860643019,0.7480889377538348,3542,2247,0.7703604806408545,0.5907335907335908,0.6935096153846154,0.4092664092664093,0.704686617730096,1731,765,530,516,-0.46916380036095706
2,2022,M0,T90,0.6381630848392258,0.6458773860643019,0.7480889377538348,3542,2247,0.892745883400089,0.7498069498069498,0.6738327175008397,0.2501930501930502,0.8404856013551666,2006,971,324,241,-0.7187141727117572
2,2022,M1,T50,0.7142012469474487,0.6393330962089306,0.742433724272659,3542,2247,0.4241210502892746,0.2617760617760618,0.7376160990712074,0.7382239382239382,0.36476566911349523,953,339,956,1294,-0.08804027678439919
2,2022,M1,T75,0.6728469424446174,0.6393330962089306,0.742433724272659,3542,2247,0.7458834000890076,0.5583011583011583,0.6986244268445185,0.4416988416988417,0.6773009599096556,1676,723,572,571,-0.4175961124448051
2,2022,M1,T90,0.6289199410714784,0.6393330962089306,0.742433724272659,3542,2247,0.9101023587004895,0.7822393822393823,0.6687377370830608,0.21776061776061775,0.8633540372670807,2045,1013,282,202,-0.7805966295001832
3,2023,M0,T50,0.6800326951844721,0.5878646295474712,0.901063708453373,1360,1176,0.766156462585034,0.6358695652173914,0.8850687622789783,0.3641304347826087,0.7485294117647059,901,117,67,275,-0.5963652929123708
3,2023,M0,T75,0.6179694113242302,0.5878646295474712,0.901063708453373,1360,1176,0.8801020408163265,0.8369565217391305,0.8704793944491169,0.16304347826086957,0.8742647058823529,1035,154,30,141,-0.9708749089340842
3,2023,M0,T90,0.5602255457913994,0.5878646295474712,0.901063708453373,1360,1176,0.9404761904761905,0.907608695652174,0.8688138256087982,0.09239130434782608,0.9360294117647059,1106,167,17,70,-1.0729963788019932
3,2023,M1,T50,0.6806721417701466,0.6282026397515528,0.9110364450120392,1360,1176,0.8052721088435374,0.6467391304347826,0.8883677298311444,0.3532608695652174,0.7838235294117647,947,119,65,229,-0.5688690249854556
3,2023,M1,T75,0.6232561623889867,0.6282026397515528,0.9110364450120392,1360,1176,0.9013605442176871,0.7771739130434783,0.8811305070656692,0.22282608695652173,0.8845588235294117,1060,143,41,116,-0.7796678703952122
3,2023,M1,T90,0.559544761569215,0.6282026397515528,0.9110364450120392,1360,1176,0.9481292517006803,0.8641304347826086,0.8751962323390895,0.1358695652173913,0.9367647058823529,1115,159,25,61,-0.9452467496376298
4,2024,M0,T50,0.7195003900664032,0.7769104033365924,0.783800855937766,5096,2716,0.5022091310751104,0.1411764705882353,0.8023529411764706,0.8588235294117647,0.33359497645211933,1364,336,2044,1352,0.34867685487782885
4,2024,M0,T75,0.6491786740364512,0.7769104033365924,0.783800855937766,5096,2716,0.7061855670103093,0.27605042016806725,0.7448543689320388,0.7239495798319328,0.505298273155416,1918,657,1723,798,0.28225100045399665
4,2024,M0,T90,0.580581483195469,0.7769104033365924,0.783800855937766,5096,2716,0.8807069219440353,0.5373949579831933,0.6515935712339962,0.46260504201680674,0.7203689167974883,2392,1279,1101,324,-0.16619659951667298
4,2024,M1,T50,0.7202452247111302,0.7884340849741959,0.7979457566486039,5096,2716,0.4896907216494845,0.11596638655462185,0.8281444582814446,0.8840336134453781,0.315149136577708,1330,276,2104,1386,0.3981881875242769
4,2024,M1,T75,0.6569442163615957,0.7884340849741959,0.7979457566486039,5096,2716,0.6833578792341679,0.24747899159663866,0.7591002044989775,0.7525210084033613,0.47978806907378335,1856,589,1791,860,0.32584788230278905
4,2024,M1,T90,0.5883112697120418,0.7884340849741959,0.7979457566486039,5096,2716,0.8276877761413843,0.41596638655462187,0.6942557134033354,0.5840336134453782,0.6354003139717426,2248,990,1390,468,0.08282555049211182
