model,target,auc,pr_auc,n,n_pos,tpr,fpr,precision,specificity,predicted_positive_rate,tp,fp,tn,fn,point_ev
M0,T50,0.7077004181721364,0.7819597424415996,11802,7351,0.5270031288260101,0.23500337002920693,0.7873983739837398,0.7649966299707931,0.4168784951703101,3874,1046,3405,3477,0.13283082104036736
M0,T75,0.7077004181721364,0.7819597424415996,11802,7351,0.7638416541967079,0.4482138845203325,0.7378449408672799,0.5517861154796675,0.6448059650906626,5615,1995,2456,1736,-0.09618916573499159
M0,T90,0.7077004181721364,0.7819597424415996,11802,7351,0.9005577472452727,0.6609750617838688,0.6923237816356411,0.3390249382161312,0.8102016607354685,6620,2942,1509,731,-0.4690388515141297
M1,T50,0.7203911232700235,0.7863219568648026,11802,7351,0.5264589851720854,0.21770388676701866,0.7997520148791073,0.7822961132329813,0.4100152516522623,3870,969,3482,3481,0.1784616272376074
M1,T75,0.7203911232700235,0.7863219568648026,11802,7351,0.7520065297238471,0.418782296113233,0.7478354978354979,0.581217703886767,0.6263345195729537,5528,1864,2587,1823,-0.03436063865101513
M1,T90,0.7203911232700235,0.7863219568648026,11802,7351,0.8903550537341858,0.6059312514041788,0.7081800476087426,0.39406874859582114,0.783087612269107,6545,2697,1754,806,-0.33612132105680925
