model,anchor_day,n,pred_fail_rate,actual_fail_rate
M0,243,2,0.0,0.5
M0,244,11,0.2727272727272727,0.8181818181818182
M0,245,28,0.21428571428571427,0.6785714285714286
M0,246,147,0.2925170068027211,0.8027210884353742
M0,247,82,0.2682926829268293,0.6707317073170732
M0,248,56,0.19642857142857142,0.5892857142857143
M0,249,26,0.15384615384615385,0.6153846153846154
M0,250,115,0.1565217391304348,0.6956521739130435
M0,251,24,0.2916666666666667,0.75
M0,252,1,0.0,1.0
M0,253,2,0.5,0.5
M0,254,3,0.0,0.6666666666666666
M0,257,2,0.5,1.0
M0,258,23,0.6956521739130435,0.9565217391304348
M0,259,24,0.7083333333333334,0.8333333333333334
M0,260,16,0.5,0.75
M0,261,17,0.5882352941176471,1.0
M0,262,75,0.6266666666666667,0.7066666666666667
M0,263,48,0.5,0.4583333333333333
M0,264,20,0.4,0.5
M0,265,38,0.631578947368421,0.6842105263157895
M0,266,132,0.6136363636363636,0.5227272727272727
M0,267,22,0.4090909090909091,0.5
M0,268,34,0.35294117647058826,0.29411764705882354
M0,269,7,0.2857142857142857,0.42857142857142855
M0,270,1,0.0,1.0
M0,275,2,0.0,0.5
M0,277,3,0.0,0.6666666666666666
M0,283,15,0.06666666666666667,0.7333333333333333
M0,284,35,0.11428571428571428,0.5428571428571428
M0,285,6,0.5,0.6666666666666666
M0,286,3,0.3333333333333333,1.0
M0,287,3,0.3333333333333333,0.6666666666666666
M0,288,14,0.21428571428571427,0.7857142857142857
M0,289,6,0.0,0.6666666666666666
M0,290,1,0.0,1.0
M0,291,1,1.0,1.0
M0,292,2,0.0,0.5
M0,293,4,0.0,0.75
M0,294,2,0.0,0.5
M0,295,7,0.14285714285714285,0.42857142857142855
M0,296,7,0.14285714285714285,0.2857142857142857
M0,300,3,0.3333333333333333,0.6666666666666666
M0,306,1,0.0,1.0
M0,307,5,0.6,0.6
M0,308,8,0.5,1.0
M0,309,3,0.3333333333333333,0.6666666666666666
M0,310,10,0.8,0.5
M0,311,2,0.5,0.5
M0,313,2,0.0,1.0
M0,314,1,1.0,0.0
M0,316,2,0.0,1.0
M0,317,1,0.0,1.0
M0,318,1,1.0,1.0
M0,319,4,0.5,0.25
M0,320,3,0.6666666666666666,1.0
M0,321,9,0.4444444444444444,0.3333333333333333
M0,322,6,0.16666666666666666,0.8333333333333334
M0,323,8,0.375,0.375
M0,324,13,0.38461538461538464,0.6923076923076923
M0,325,4,0.5,0.5
M0,326,5,0.6,0.6
M0,328,1,0.0,0.0
M0,329,1,0.0,1.0
M0,331,3,0.0,1.0
M0,332,3,0.0,0.6666666666666666
M0,335,1,0.0,1.0
M0,339,2,0.0,1.0
M0,343,1,0.0,1.0
M0,348,1,1.0,1.0
M0,349,4,0.5,1.0
M0,350,4,0.5,1.0
M0,351,2,0.5,1.0
M0,352,1,1.0,1.0
M0,353,2,1.0,1.0
M0,356,1,1.0,1.0
M0,357,2,0.5,1.0
M0,360,4,0.75,0.5
M0,361,1,0.0,0.0
M0,362,4,0.75,1.0
M0,363,6,0.6666666666666666,0.8333333333333334
M0,364,5,0.6,1.0
M0,365,1,1.0,1.0
M0,366,3,1.0,1.0
M0,367,6,0.6666666666666666,1.0
M0,368,2,0.0,1.0
M0,371,8,0.625,1.0
M0,372,4,0.0,1.0
M0,373,10,0.8,0.9
M0,374,3,1.0,0.6666666666666666
M0,375,2,0.5,1.0
M0,376,4,0.75,1.0
M0,377,8,0.5,0.875
M0,378,42,0.5476190476190477,0.8809523809523809
M0,379,27,0.5185185185185185,0.7037037037037037
M0,380,47,0.2765957446808511,0.6382978723404256
M0,381,1,1.0,1.0
M0,382,8,0.5,0.625
M0,383,11,0.2727272727272727,0.2727272727272727
M0,384,2,0.0,0.5
M0,386,3,0.3333333333333333,1.0
M0,387,8,0.375,0.625
M0,388,2,0.5,0.0
M0,390,1,0.0,0.0
M0,392,1,0.0,1.0
M0,394,5,0.4,1.0
M0,395,3,0.3333333333333333,0.6666666666666666
M0,396,3,0.0,0.6666666666666666
M0,397,14,0.2857142857142857,0.5714285714285714
M0,398,3,0.0,0.6666666666666666
M0,399,1,0.0,0.0
M0,400,2,0.0,1.0
M0,401,4,0.5,0.75
M0,402,7,0.14285714285714285,0.5714285714285714
M0,403,15,0.7333333333333333,0.8
M0,404,16,0.4375,0.625
M0,405,7,0.14285714285714285,1.0
M0,406,2,0.0,1.0
M0,407,3,0.6666666666666666,0.6666666666666666
M0,409,1,1.0,1.0
M0,413,2,0.0,0.5
M0,414,1,1.0,1.0
M0,415,5,0.2,0.8
M0,416,4,0.5,0.75
M0,417,12,0.3333333333333333,0.5833333333333334
M0,418,3,0.3333333333333333,1.0
M0,420,1,1.0,1.0
M0,421,8,0.125,0.75
M0,422,6,0.5,0.8333333333333334
M0,423,22,0.3181818181818182,0.6818181818181818
M0,424,1,0.0,0.0
M0,425,1,0.0,1.0
M0,426,3,0.3333333333333333,1.0
M0,427,7,0.14285714285714285,0.5714285714285714
M0,428,7,0.0,0.8571428571428571
M0,429,4,0.0,0.75
M0,430,6,0.16666666666666666,0.5
M0,431,11,0.5454545454545454,0.8181818181818182
M0,432,3,0.3333333333333333,0.6666666666666666
M0,433,6,0.16666666666666666,0.8333333333333334
M0,434,10,0.5,0.8
M0,435,5,0.4,0.4
M0,436,10,0.6,0.3
M0,437,7,0.42857142857142855,0.14285714285714285
M0,438,24,0.5833333333333334,0.5
M0,439,48,0.4166666666666667,0.5833333333333334
M0,440,16,0.4375,0.6875
M0,441,6,0.5,0.6666666666666666
M0,442,16,0.1875,0.75
M0,443,4,0.0,0.25
M0,444,2,0.0,1.0
M0,445,10,0.1,0.8
M0,446,5,0.4,0.0
M0,447,4,0.0,0.75
M0,448,9,0.1111111111111111,0.7777777777777778
M0,451,1,1.0,0.0
M0,453,2,0.0,0.5
M0,455,1,0.0,1.0
M0,463,1,0.0,0.0
M0,467,1,1.0,0.0
M0,476,2,0.0,0.0
M0,479,1,0.0,1.0
M0,480,4,0.25,0.75
M0,481,4,0.25,0.5
M0,482,1,0.0,1.0
M0,486,3,0.3333333333333333,0.6666666666666666
M0,487,7,0.42857142857142855,0.8571428571428571
M0,488,3,0.0,0.3333333333333333
