arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A3,300274.SZ,2022-09-01,2022-10-12,23,1,20090.091559680004
A3,603259.SH,2022-07-28,2022-10-17,51,1,-29353.26549239998
A3,601899.SH,2022-09-27,2022-10-28,18,1,12943.121547240007
A3,002271.SZ,2022-08-24,2022-11-02,44,1,-442.7818172399998
A3,002594.SZ,2022-07-13,2022-11-04,76,1,-18917.074105559965
A3,603799.SH,2022-09-30,2022-11-07,21,1,-25.579001759995663
A3,600030.SH,2022-09-19,2022-11-11,34,1,108.6591013000002
A3,600036.SH,2022-10-11,2022-11-11,23,1,-44.547176249999666
A3,000651.SZ,2022-11-01,2022-11-14,9,1,3829.649889600012
A3,300059.SZ,2022-08-03,2022-11-15,68,1,-487.88852266000004
A3,000625.SZ,2022-08-25,2022-11-30,63,1,-1843.1673139999984
A3,600519.SH,2022-10-13,2022-12-01,35,1,-6637.773531959974
A3,000568.SZ,2022-10-20,2022-12-01,30,1,1220.391427680006
A3,600887.SH,2022-10-21,2022-12-01,29,1,-94.19194847999825
A3,300750.SZ,2022-10-31,2022-12-07,27,1,22683.793246200046
A3,002371.SZ,2022-10-13,2022-12-14,44,1,2389.178073240004
A3,600522.SH,2022-11-29,2023-01-03,24,1,159.97758179999983
A3,300274.SZ,2022-12-07,2023-01-03,18,1,21142.537688880024
A3,002241.SZ,2022-11-14,2023-01-05,37,1,15315.32421215999
A3,002812.SZ,2022-11-24,2023-01-06,30,1,4124.254545719996
A3,601012.SH,2022-12-23,2023-01-18,17,1,22382.58724128001
A3,000625.SZ,2022-12-29,2023-01-30,16,1,27061.890775920037
A3,300014.SZ,2023-01-12,2023-02-01,9,1,13742.55426942007
A3,300750.SZ,2023-02-20,2023-03-31,29,1,-1471.5558388799545
A3,600519.SH,2023-03-09,2023-03-31,16,1,5064.965981999994
A3,300059.SZ,2023-03-08,2023-04-03,18,1,6215.843026800023
