arch,year,return_pct
A0,2020,8.122530222525072
A0,2021,31.86078229645195
A0,2022,1.9288075567292617
A0,2023,-10.650345784627424
A0,2024,0.34746251081820834
A1,2020,4.572609615071066
A1,2021,15.863385012455812
A1,2022,0.041777111672058886
A1,2023,-14.904244157315116
A1,2024,-3.271618296916612
A2,2020,-3.6437339560239645
A2,2021,14.231448827711546
A2,2022,-2.745367099685103
A2,2023,-7.442108646463497
A2,2024,-4.969534460027303
A3,2020,5.561709907354073
A3,2021,-8.470121111895711
A3,2022,-14.351661506514446
A3,2023,-6.833975680851257
A3,2024,-8.264201316870444
