arch,candidate_events,queued,executed_initial,blocked_held,blocked_k,capture_rate_pct,queueable_capture_pct,exec_EXECUTED,exec_NO_LOT,exec_MISSING,exec_NO_CASH
A0,530,78,76,116,336,14.339622641509434,97.43589743589743,76,1.0,,
A1,530,363,123,167,0,23.20754716981132,33.88429752066116,123,238.0,1.0,
A2,530,76,75,118,336,14.150943396226415,98.68421052631578,75,,,
A3,530,349,146,181,0,27.547169811320753,41.833810888252145,146,200.0,1.0,1.0
