reason,n_days,admitted_mean,blocked_mean,delta_mean,delta_hac_ci_lo,delta_hac_ci_hi,delta_boot_ci_lo,delta_boot_ci_hi
BLOCKED_K,7,2.2130535851311204,-3.336206854943496,-5.549260440074617,,,-14.082733258339385,4.787659996992503
BLOCKED_CASH,0,,,,,,,
