round,ts_code,entry_date,layer,layer_date,shares,layer_price,layer_cost,holding_days_after_layer,layer_pnl,layer_return_pct,episode_return_pct
0,300750.SZ,2020-03-02,1,2020-03-02,1400,138.939,194514.32,31,-12792.615328043355,-6.576695910122893,-4.33
0,300750.SZ,2020-03-02,2,2020-03-10,1400,133.744,187241.05,25,-5526.494873955471,-2.951540206570873,-4.33
0,300750.SZ,2020-03-02,3,2020-03-17,200,121.121,24224.2,20,1732.7128708385687,7.15281772293231,-4.33
1,601318.SH,2020-03-02,1,2020-03-02,2500,78.398,195995.8,33,-16136.287214097829,-8.23297601994422,-3.03
1,601318.SH,2020-03-02,2,2020-03-13,2700,72.212,194972.78,24,-741.0722196654851,-0.38009009240442954,-3.03
1,601318.SH,2020-03-02,3,2020-03-17,2700,71.722,193648.46,22,580.6526707830799,0.2998488450582462,-3.03
2,000725.SZ,2020-03-17,1,2020-03-17,2100,4.194,8807.8,35,-384.61655883745533,-4.36677216600576,13.06
2,000725.SZ,2020-03-17,2,2020-04-29,56900,3.514,199918.72,5,28225.942909967456,14.118709298442614,13.06
3,002714.SZ,2020-05-12,1,2020-05-12,1700,115.615,196546.35,27,-73111.95156304003,-37.198325770506564,-37.35
4,000063.SZ,2020-05-26,1,2020-05-26,5300,37.347,197940.74,17,17081.514941920017,8.629610529858592,8.36
5,002415.SZ,2020-05-26,1,2020-05-26,7100,28.038,199069.87,17,14787.478900539982,7.428285807661392,7.16
6,600030.SH,2020-09-08,1,2020-09-08,6600,29.98,197867.67,18,7130.387070839927,3.603614006694437,3.34
7,002456.SZ,2020-09-02,1,2020-09-02,11700,16.987,198747.55,34,-11659.370957398192,-5.866422482892591,-1.99
7,002456.SZ,2020-09-02,2,2020-09-04,12300,16.196,199213.01,32,-2537.4195925377853,-1.2737218279758864,-1.99
7,002456.SZ,2020-09-02,3,2020-09-08,12700,15.726,199716.52,30,3343.268670086041,1.67400707266782,-1.99
7,002456.SZ,2020-09-02,4,2020-09-10,300,14.835,4450.45,28,346.0156807097601,7.774847053888036,-1.99
8,300136.SZ,2020-10-13,1,2020-10-13,3800,51.952,197417.22,19,3294.2568505878953,1.668677560441736,1.53
8,300136.SZ,2020-10-13,2,2020-10-16,100,49.67,4966.96,16,314.6629251521017,6.335120982494356,1.53
