round,ts_code,entry_date,exit_date,holding_days,slot_days,capital_days,initial_layer_cost,total_cost,max_layers,days_at_1_layer,days_at_2_layers,days_at_3plus_layers,days_K_full_while_held,candidate_signals_blocked_during_hold,new_entry_blocked_while_occupied,capital_added_after_initial,median_days_between_adds,realized_pnl,return_pct
33,000651.SZ,2021-10-28,2021-12-09,30,30,7301061.742629601,197134.94,395111.3222412,2,23,7,0,19,11,7,197873.68,23.0,14882.517802080081,3.77
34,601012.SH,2021-12-02,2022-03-01,57,57,24869052.022815,191781.59,582443.1058445999,3,2,39,16,46,44,31,390510.12,20.5,11911.362737400108,2.05
35,002594.SZ,2021-12-17,2022-05-05,88,88,46785680.06492701,198998.8,684299.3115743999,4,2,28,58,83,82,61,485122.64,21.0,-15161.140331099858,-2.22
36,000858.SZ,2022-03-04,2022-05-30,56,56,11100740.3222688,198175.98,198227.50575480002,1,56,0,0,54,42,29,0.0,,-16906.98683321994,-8.53
37,300750.SZ,2021-12-21,2022-06-02,106,106,47479825.49582702,181981.8,540332.099829,3,4,45,57,98,80,58,358209.85,24.5,-97943.60455811996,-18.13
38,002415.SZ,2022-05-09,2022-06-06,19,19,9935689.847882401,197397.2,596366.6350212,3,2,3,14,15,2,0,398814.42,2.5,21141.421241400065,3.55
39,002241.SZ,2022-06-24,2022-08-05,30,30,5989298.512841999,199591.39,199643.2837614,1,30,0,0,16,10,5,0.0,,5669.915238360059,2.84
40,600036.SH,2022-07-14,2022-08-31,34,34,16754295.2144598,197198.0,591232.1704074,3,2,13,19,32,19,15,393880.49,7.5,-9253.682413919945,-1.57
41,601888.SH,2022-08-09,2022-09-26,33,33,8804241.6678216,190710.52,369985.6912752,2,19,14,0,32,33,26,179179.0,19.0,25997.859993599996,7.03
42,300274.SZ,2022-09-01,2022-10-12,23,23,4387459.402929601,190709.52,190759.1044752,1,23,0,0,22,30,23,0.0,,21345.722282160015,11.19
43,601899.SH,2022-09-27,2022-10-28,18,18,6760831.6993284,199888.69,397559.3985756,2,2,16,0,17,31,23,197567.37,2.0,27486.361114739964,6.91
44,002594.SZ,2022-07-13,2022-11-04,76,76,40313731.945806004,185585.4,951255.3220956,5,21,15,40,69,80,57,765422.6599999999,18.0,-6528.044203919824,-0.69
45,600519.SH,2022-10-13,2022-12-01,35,35,6029198.934255,172218.05,172262.82669299998,1,35,0,0,28,28,20,0.0,,-6637.773531959974,-3.85
46,300750.SZ,2022-10-31,2022-12-07,27,27,4866124.863600002,180180.0,180226.8468,1,27,0,0,17,7,5,0.0,,22683.793246200046,12.59
47,300274.SZ,2022-12-07,2023-01-03,18,18,6062303.449191601,197987.79,390162.08577420004,2,5,13,0,6,6,2,192072.88,5.0,48201.52225410007,12.35
48,002241.SZ,2022-11-14,2023-01-05,37,37,8764884.2175444,199146.95,398417.48161919997,2,30,7,0,19,10,5,199166.97,30.0,34076.419577819994,8.55
49,601012.SH,2022-12-23,2023-01-18,17,17,3352880.1822516,197176.98,197228.2460148,1,17,0,0,6,4,2,0.0,,22382.58724128001,11.35
50,300014.SZ,2023-01-12,2023-02-01,9,9,1771458.6795372,196777.58,196828.7421708,1,9,0,0,0,0,0,0.0,,13742.55426942007,6.98
51,300750.SZ,2023-02-20,2023-03-31,29,29,10942002.411139803,166566.4,517921.8946902,3,2,18,9,17,15,8,351220.87,10.0,18777.097441440157,3.63
52,300059.SZ,2023-03-08,2023-04-03,18,18,4970416.222305,198693.5,397745.636985,2,11,7,0,17,10,8,198948.75,11.0,26668.556488800037,6.7
53,000858.SZ,2023-04-11,2023-05-22,26,26,9441503.7729012,184153.97,378045.8363682,2,2,24,0,24,5,4,193793.6,2.0,-10014.006498299947,-2.65
54,600519.SH,2023-04-13,2023-06-16,43,43,7276158.309419999,169169.0,169212.98394,1,43,0,0,42,14,10,0.0,,7184.677604219993,4.25
55,600809.SH,2023-05-23,2023-07-25,43,43,20025428.338000797,199098.9,568940.1059772,3,2,21,20,38,17,11,369693.32,11.5,36083.205896939966,6.34
56,300418.SZ,2023-06-27,2023-08-14,34,34,454528.443539,13363.35,13368.4836335,1,34,0,0,29,14,8,0.0,,-1466.4528931899968,-10.97
57,600276.SH,2023-08-01,2023-08-28,19,19,10133584.827202803,199594.4,596074.2590232,3,2,2,15,16,17,12,396324.92000000004,2.0,13381.668178560212,2.24
58,002230.SZ,2023-08-17,2023-10-10,32,32,553486.1732064,17291.27,17296.4429127,1,32,0,0,23,16,15,0.0,,-1200.787438989997,-6.94
59,002475.SZ,2023-09-08,2023-10-11,17,17,3364284.5366129996,197847.65,197899.090389,1,17,0,0,16,6,6,0.0,,13314.679056360037,6.73
60,300014.SZ,2023-02-21,2023-11-06,172,172,148480608.69358015,193633.44,985860.8772012,5,2,17,153,125,72,46,791971.1799999999,9.5,-281648.9383369199,-28.57
61,600519.SH,2023-10-16,2023-12-29,54,54,21314350.8707508,175273.1,517892.8571424,3,2,35,17,49,31,18,342485.14,18.5,2568.911065380147,0.5
62,601318.SH,2023-11-10,2024-01-25,53,53,22543374.753900006,197537.34,452890.0408032,3,2,16,35,50,31,22,255234.98,9.0,-17632.113424199924,-3.89
63,300750.SZ,2023-10-17,2024-02-08,81,81,25921669.7722914,185695.51,562400.8762194,3,30,44,7,71,50,33,376559.18,37.0,-9141.909842339926,-1.63
64,002230.SZ,2024-01-04,2024-02-08,25,25,9463439.4747012,197997.8,394232.2137324,2,2,23,0,22,20,15,196131.94,2.0,14136.106295520032,3.59
65,601012.SH,2024-01-30,2024-03-12,24,24,8642197.847379599,198844.65,374745.6885528,2,2,22,0,7,9,6,175803.63,2.0,49915.919160360005,13.32
66,601318.SH,2024-03-25,2024-04-29,23,23,6531495.947532001,198403.2,395158.3744716,2,13,10,0,18,14,10,196652.46,13.0,32025.780640259967,8.1
67,000628.SZ,2024-04-01,2024-05-21,31,31,16786453.643478,198656.46,592326.5448708,3,2,4,25,28,15,11,393516.12,3.0,-131429.80281221983,-22.19
68,000977.SZ,2024-05-29,2024-07-09,28,28,5590853.003937599,199621.42,199673.3215692,1,28,0,0,28,15,15,0.0,,8939.030455080007,4.48
69,000625.SZ,2024-05-07,2024-07-10,45,45,13336861.532661,199033.83,398086.05547079997,2,23,22,0,38,19,17,198948.75,23.0,7022.001232619979,1.76
70,603019.SH,2024-03-28,2024-07-17,73,73,21681662.066838,198858.66,397832.73962580005,2,37,36,0,56,34,27,198870.67,37.0,-12591.667527119862,-3.17
71,601919.SH,2024-07-15,2024-09-20,47,47,14947281.563032795,198962.76,398785.9373928,2,19,28,0,40,34,28,199719.52,19.0,-320.17370615992695,-0.08
72,601138.SH,2024-07-19,2024-09-24,45,45,18009221.690532602,199959.76,492313.65827939997,3,5,29,11,41,35,29,292225.93,17.0,-53626.77789083985,-10.89
73,601899.SH,2024-07-24,2024-09-25,43,43,16758423.61371,199244.04,400068.17036550003,3,2,29,12,41,34,29,200715.51,15.5,23685.022253150004,5.92
74,600150.SH,2024-09-23,2024-12-18,57,57,14567721.132972602,196725.53,393920.8227918,2,40,17,0,1,2,0,197092.9,40.0,25549.931969100027,6.49
75,600418.SH,2024-11-28,2024-12-31,23,23,4536525.9601602005,197188.99,197240.25913740002,1,23,0,0,0,1,0,0.0,,16133.701312079997,8.18
