round,ts_code,entry_date,exit_date,holding_days,slot_days,capital_days,initial_layer_cost,total_cost,max_layers,days_at_1_layer,days_at_2_layers,days_at_3plus_layers,days_K_full_while_held,candidate_signals_blocked_during_hold,new_entry_blocked_while_occupied,capital_added_after_initial,median_days_between_adds,realized_pnl,return_pct
0,300750.SZ,2020-03-02,2020-04-15,31,31,11198364.988084204,194514.32,406085.1246881999,3,6,5,20,20,22,13,211465.25,5.5,-17564.68204523984,-4.33
1,601318.SH,2020-03-02,2020-04-17,33,33,15411480.1833024,195995.8,584769.0404303999,3,9,2,22,20,22,13,388621.24,5.5,-17726.73409781989,-3.03
2,000725.SZ,2020-03-17,2020-05-11,35,35,1308304.577066,8807.8,208783.5869452,2,30,5,0,20,17,12,199918.72,30.0,27272.019758470036,13.06
3,002714.SZ,2020-05-12,2020-06-18,27,27,5308131.205376999,196546.35,196597.452051,1,27,0,0,17,3,1,0.0,,-73422.30253895996,-37.35
4,000063.SZ,2020-05-26,2020-06-18,17,17,3365867.4780708,197940.74,197992.2045924,1,17,0,0,17,1,1,0.0,,16543.11587328001,8.36
5,002415.SZ,2020-05-26,2020-06-18,17,17,3385067.6788254,199069.87,199121.6281662,1,17,0,0,17,1,1,0.0,,14247.334767060034,7.16
6,600030.SH,2020-09-08,2020-10-12,18,18,3562544.0806956,197867.67,197919.1155942,1,18,0,0,17,8,7,0.0,,6613.851740760059,3.34
7,002456.SZ,2020-09-02,2020-10-28,34,34,19253454.635567196,198747.55,602287.9705452999,4,2,2,30,28,13,9,403379.98,2.0,-11994.304891459877,-1.99
8,300136.SZ,2020-10-13,2020-11-09,19,19,3831454.5757804,197417.22,202440.55814679997,2,3,16,0,11,2,2,4966.96,3.0,3092.143930660037,1.53
9,600745.SH,2020-09-09,2020-12-07,57,57,8423802.819432002,147747.6,147786.014376,1,57,0,0,43,17,12,0.0,,-9391.319683919952,-6.35
10,601012.SH,2020-11-16,2020-12-09,17,17,6216141.076578001,193594.4,388590.10716599994,2,2,15,0,15,5,3,194894.7,2.0,44963.39024784003,11.57
11,300122.SZ,2020-11-12,2020-12-21,27,27,9537787.0700514,188894.71,381826.599111,2,4,23,0,19,10,4,192832.64,4.0,82452.34540584008,21.59
12,002475.SZ,2020-12-15,2020-12-23,6,6,1192380.8184288,198678.48,198730.13640480003,1,6,0,0,4,2,1,0.0,,16941.61435680004,8.52
13,000651.SZ,2020-12-10,2021-01-05,17,17,5865609.8721546,195526.33,391023.1695978,2,4,13,0,4,3,1,195395.2,4.0,18683.3139607801,4.78
14,601318.SH,2021-01-29,2021-02-25,14,14,7055520.5985264005,194354.16,588100.2263136,3,2,2,10,13,10,5,393593.2,2.0,55426.922526240116,9.42
15,300059.SZ,2021-02-26,2021-04-02,25,25,4962496.163625,198448.25,198499.846545,1,25,0,0,25,16,13,0.0,,-10814.738126399956,-5.45
16,300750.SZ,2021-02-01,2021-04-14,46,46,14338647.679356001,176676.5,370766.674278,2,14,32,0,39,29,19,193993.8,14.0,9928.487663820037,2.68
17,002475.SZ,2021-01-29,2021-04-19,50,50,19954555.305802196,195705.51,586757.5373052,3,23,2,25,40,37,24,390899.51,12.5,-128562.82199261995,-21.91
18,601166.SH,2021-04-16,2021-05-12,15,15,2831814.330344999,188738.55,188787.622023,1,15,0,0,5,10,7,0.0,,19181.56621140003,10.16
19,002352.SZ,2021-04-13,2021-05-18,22,22,7958216.798531998,184984.8,379407.5503218,2,2,20,0,8,15,9,194324.13,2.0,6983.716473360022,1.84
20,600031.SH,2021-05-14,2021-06-01,12,12,2391970.7107296,199279.08,199330.89256079998,1,12,0,0,7,5,2,0.0,,27818.873655840027,13.96
21,002594.SZ,2021-05-06,2021-06-08,23,23,8273448.4674618,188588.4,376008.2667378,2,2,21,0,11,14,7,187322.13,2.0,131567.65075440012,34.99
22,002340.SZ,2021-06-08,2021-07-06,19,19,9964886.597064001,199098.9,597938.6136293999,3,2,3,14,15,7,6,398684.29,2.5,31636.125431640074,5.29
23,000661.SZ,2021-05-25,2021-07-19,38,38,13725019.497499203,169857.69,515457.79419059993,3,3,27,8,26,15,10,345466.12,15.0,18776.778029100038,3.64
24,600031.SH,2021-06-15,2021-08-03,35,35,12895162.800841799,198017.82,475250.18292900006,3,2,16,17,28,21,14,277108.83,9.0,22024.05905448011,4.63
25,002241.SZ,2021-07-23,2021-08-05,9,9,1797510.4612398,199671.47,199723.3845822,1,9,0,0,7,10,5,0.0,,20518.01914968004,10.27
26,002460.SZ,2021-08-17,2021-08-30,9,9,1761537.2006232003,195675.48,195726.3556248,1,9,0,0,9,4,2,0.0,,47024.09293319998,24.03
27,300750.SZ,2021-08-17,2021-09-14,20,20,3884889.8087999993,194194.0,194244.49044,1,20,0,0,9,4,2,0.0,,19148.41928376007,9.86
28,000858.SZ,2021-07-09,2021-09-27,54,54,31434328.1909214,188803.61,965533.2834006001,5,12,2,40,22,22,9,776478.7,14.5,-54012.840126839816,-5.59
29,600111.SH,2021-09-30,2021-10-25,12,12,2358352.3722336,196478.28,196529.3643528,1,12,0,0,12,1,1,0.0,,43782.60256524003,22.28
30,002466.SZ,2021-09-23,2021-11-09,28,28,10319785.186712403,195026.83,389382.10303139995,2,3,25,0,20,11,6,194254.06,3.0,20545.878086640034,5.28
31,601919.SH,2021-09-29,2021-11-30,39,39,9746778.0135726,198888.69,397750.638285,2,29,10,0,29,12,8,198758.56,29.0,12082.559413860145,3.04
32,600030.SH,2021-11-17,2021-12-06,13,13,2583140.291901,198651.45,198703.099377,1,13,0,0,11,5,2,0.0,,15781.336284420046,7.94
