frac,n_top,slot_share,capital_share,blocked_share
0.05,4,16.95751138088012,27.878756510983976,19.957835558678845
0.1,8,26.934749620637326,37.76649909168835,32.25579761068166
0.2,16,42.75417298937785,53.35235400477833,48.2782853127196
HHI_slot,76,0.01990445126542492,,
