n,coverage,ind_mean,ind_median,ind_win,ind_pf,ind_mae,ind_hold,reason
76,69.73684210526315,3.533503474723117,3.7666645298140864,75.47169811320755,2.61189499932085,-12.808724261619266,33.0188679245283,ADMITTED
336,36.607142857142854,5.078763473106538,5.894426001503926,74.79674796747967,3.184379794840337,-12.888557633001458,37.27642276422764,BLOCKED_K
0,0.0,,,,,,,BLOCKED_CASH
116,0.0,,,,,,,BLOCKED_HELD
1,100.0,-16.277210987224258,-16.277210987224258,0.0,0.0,-32.1319799718628,137.0,BLOCKED_LOT
0,0.0,,,,,,,BLOCKED_EXECUTION
1,100.0,-0.0292415122137776,-0.0292415122137776,0.0,0.0,-8.78686530860443,20.0,BLOCKED_OTHER
