date,portfolio_nav,cash,invested_cost,market_value,n_positions,total_layers,free_slots,cash_available_for_new_entry,candidate_count,new_entry_candidate_count,add_candidate_count,executed_new_entries,executed_adds,blocked_by_K,blocked_by_cash,blocked_by_held,blocked_by_lot,blocked_by_execution,released_capital_today,new_capital_committed_today
2020-01-02,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-03,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-06,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-07,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-08,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-09,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-10,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-13,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-14,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-15,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-16,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-17,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-20,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-21,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-22,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-23,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-03,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-04,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-05,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-06,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-07,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-10,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-11,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-12,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-13,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-14,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-17,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-18,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-19,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-20,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-21,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-24,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-25,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-26,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-27,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-28,1000000.0,1000000.0,0.0,0.0,0,0,3,1000000.0,2,2,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-02,1004324.3473688001,609388.3473688001,390611.6526311999,394936.0,2,6,1,609388.3473688001,0,0,0,2,0,0,0,0,0,0,0.0,390510.12
2020-03-03,1012205.3473688001,609388.3473688001,390611.6526311999,402817.0,2,6,1,609388.3473688001,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-04,1012018.3473688001,609388.3473688001,390611.6526311999,402630.0,2,6,1,609388.3473688001,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-05,1018821.3473688001,609388.3473688001,390611.6526311999,409433.0,2,6,1,609388.3473688001,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-06,1012591.3473688001,609388.3473688001,390611.6526311999,403203.0,2,6,1,609388.3473688001,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-09,991568.3473688001,609388.3473688001,390611.6526311999,382180.0,2,6,1,609388.3473688001,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-10,1013532.6106947601,422098.6106947601,577901.3893052399,591434.0,2,6,1,422098.6106947601,0,0,1,0,1,0,0,0,0,0,0.0,187241.05
