date,portfolio_nav,cash,invested_cost,market_value,n_positions,total_layers,free_slots,cash_available_for_new_entry,candidate_count,new_entry_candidate_count,add_candidate_count,executed_new_entries,executed_adds,blocked_by_K,blocked_by_cash,blocked_by_held,blocked_by_lot,blocked_by_execution,released_capital_today,new_capital_committed_today
2020-03-11,1011657.6106947601,422098.6106947601,577901.3893052399,589559.0,2,6,1,422098.6106947601,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-12,989483.6106947601,422098.6106947601,577901.3893052399,567385.0,2,6,1,422098.6106947601,1,1,0,0,0,0,0,1,0,0,0.0,0.0
2020-03-13,985447.1397724801,227075.13977248015,772924.8602275199,758372.0,2,6,1,227075.13977248015,1,1,1,0,1,0,0,1,0,0,0.0,194972.78
2020-03-16,934843.1397724801,227075.13977248015,772924.8602275199,707768.0,2,6,1,227075.13977248015,4,4,0,0,0,1,0,2,0,0,0.0,0.0
2020-03-17,933013.9508041901,332.9508041901536,999667.0491958098,932681.0,3,8,0,332.9508041901536,5,5,2,1,2,3,0,2,0,0,0.0,226680.46
2020-03-18,913028.9508041901,332.9508041901536,999667.0491958098,912696.0,3,8,0,332.9508041901536,5,5,0,0,0,4,0,1,0,0,0.0,0.0
2020-03-19,889929.9508041901,332.9508041901536,999667.0491958098,889597.0,3,8,0,332.9508041901536,5,5,0,0,0,4,0,1,0,0,0.0,0.0
2020-03-20,901832.9508041901,332.9508041901536,999667.0491958098,901500.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-23,858450.9508041901,332.9508041901536,999667.0491958098,858118.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-24,888042.9508041901,332.9508041901536,999667.0491958098,887710.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-25,927602.9508041901,332.9508041901536,999667.0491958098,927270.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-26,922018.9508041901,332.9508041901536,999667.0491958098,921686.0,3,8,0,332.9508041901536,1,1,0,0,0,1,0,0,0,0,0.0,0.0
2020-03-27,915545.9508041901,332.9508041901536,999667.0491958098,915213.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-30,912443.9508041901,332.9508041901536,999667.0491958098,912111.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-31,915736.9508041901,332.9508041901536,999667.0491958098,915404.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-01,917140.9508041901,332.9508041901536,999667.0491958098,916808.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-02,929715.9508041901,332.9508041901536,999667.0491958098,929383.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-03,915348.9508041901,332.9508041901536,999667.0491958098,915016.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-07,935469.9508041901,332.9508041901536,999667.0491958098,935137.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-08,925787.9508041901,332.9508041901536,999667.0491958098,925455.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-09,919350.9508041901,332.9508041901536,999667.0491958098,919018.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-10,924513.9508041901,332.9508041901536,999667.0491958098,924181.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-13,906283.9508041901,332.9508041901536,999667.0491958098,905951.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-14,947934.9508041901,332.9508041901536,999667.0491958098,947602.0,3,8,0,332.9508041901536,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-15,956632.3974481903,388853.3974481902,593581.9205065699,567779.0,2,5,1,388853.3974481902,0,0,0,0,0,0,0,0,0,0,389010.6,0.0
2020-04-16,952856.3974481903,388853.3974481902,593581.9205065699,564003.0,2,5,1,388853.3974481902,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-17,964064.6967789503,955895.6967789503,8812.887077989999,8169.0,1,2,2,955895.6967789503,0,0,0,0,0,0,0,0,0,0,567757.67,0.0
2020-04-20,963980.6967789503,955895.6967789503,8812.887077989999,8085.0,1,2,2,955895.6967789503,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-21,963875.6967789503,955895.6967789503,8812.887077989999,7980.0,1,2,2,955895.6967789503,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-22,963896.6967789503,955895.6967789503,8812.887077989999,8001.0,1,2,2,955895.6967789503,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-23,963812.6967789503,955895.6967789503,8812.887077989999,7917.0,1,2,2,955895.6967789503,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-24,963665.6967789503,955895.6967789503,8812.887077989999,7770.0,1,2,2,955895.6967789503,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-27,963602.6967789503,955895.6967789503,8812.887077989999,7707.0,1,2,2,955895.6967789503,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-04-28,963329.6967789503,955895.6967789503,8812.887077989999,7434.0,1,2,2,955895.6967789503,1,1,0,0,0,0,0,1,0,0,0.0,0.0
2020-04-29,966554.9989120103,755924.9989120103,208783.58494492993,210630.0,1,2,2,755924.9989120103,0,0,1,0,1,0,0,0,0,0,0.0,199918.72
2020-04-30,977764.9989120103,755924.9989120103,208783.58494492993,221840.0,1,2,2,755924.9989120103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-06,981304.9989120103,755924.9989120103,208783.58494492993,225380.0,1,2,2,755924.9989120103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-07,978354.9989120103,755924.9989120103,208783.58494492993,222430.0,1,2,2,755924.9989120103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-08,983664.9989120103,755924.9989120103,208783.58494492993,227740.0,1,2,2,755924.9989120103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-11,991980.6036154103,991980.6036154103,0.0,0.0,0,0,3,991980.6036154103,1,1,0,0,0,0,0,0,0,0,236353.41,0.0
2020-05-12,992634.1515644103,795383.1515644103,196597.45205099997,197251.0,1,1,2,795383.1515644103,0,0,0,1,0,0,0,0,0,0,0.0,196546.35
2020-05-13,991393.1515644103,795383.1515644103,196597.45205099997,196010.0,1,1,2,795383.1515644103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-14,987194.1515644103,795383.1515644103,196597.45205099997,191811.0,1,1,2,795383.1515644103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-15,989183.1515644103,795383.1515644103,196597.45205099997,193800.0,1,1,2,795383.1515644103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-18,998193.1515644103,795383.1515644103,196597.45205099997,202810.0,1,1,2,795383.1515644103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-19,994130.1515644103,795383.1515644103,196597.45205099997,198747.0,1,1,2,795383.1515644103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-20,987993.1515644103,795383.1515644103,196597.45205099997,192610.0,1,1,2,795383.1515644103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-21,990203.1515644103,795383.1515644103,196597.45205099997,194820.0,1,1,2,795383.1515644103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-22,993552.1515644103,795383.1515644103,196597.45205099997,198169.0,1,1,2,795383.1515644103,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-25,998635.1515644103,795383.1515644103,196597.45205099997,203252.0,1,1,2,795383.1515644103,2,2,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-26,998052.3148047703,398269.3148047703,593711.28881064,599783.0,3,3,0,398269.3148047703,0,0,0,2,0,0,0,0,0,0,0.0,397010.61
2020-05-27,990839.3148047703,398269.3148047703,593711.28881064,592570.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-28,988380.3148047703,398269.3148047703,593711.28881064,590111.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-05-29,988694.3148047703,398269.3148047703,593711.28881064,590425.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-01,1010337.3148047703,398269.3148047703,593711.28881064,612068.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-02,1013068.3148047703,398269.3148047703,593711.28881064,614799.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-03,1010648.3148047703,398269.3148047703,593711.28881064,612379.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-04,926107.3148047703,398269.3148047703,593711.28881064,527838.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-05,922443.3148047703,398269.3148047703,593711.28881064,524174.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-08,931256.3148047703,398269.3148047703,593711.28881064,532987.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-09,929299.3148047703,398269.3148047703,593711.28881064,531030.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-10,928773.3148047703,398269.3148047703,593711.28881064,530504.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-11,917506.3148047703,398269.3148047703,593711.28881064,519237.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-12,918741.3148047703,398269.3148047703,593711.28881064,520472.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-15,916188.3148047703,398269.3148047703,593711.28881064,517919.0,3,3,0,398269.3148047703,1,1,0,0,0,1,0,0,0,0,0.0,0.0
2020-06-16,931356.3148047703,398269.3148047703,593711.28881064,533087.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-17,937394.3148047703,398269.3148047703,593711.28881064,539125.0,3,3,0,398269.3148047703,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-18,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,551774.68,0.0
2020-06-19,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-22,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-23,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-24,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-29,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-06-30,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-01,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-02,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-03,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-06,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-07,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-08,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-09,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-10,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-13,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-14,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-15,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-16,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-17,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-20,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-21,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-22,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-23,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-24,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-27,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-28,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-29,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-30,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-07-31,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-03,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-04,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-05,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-06,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-07,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-10,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-11,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-12,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-13,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-14,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-17,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-18,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-19,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-20,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-21,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-24,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-25,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-26,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-27,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-28,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-08-31,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-01,949348.7517167903,949348.7517167903,0.0,0.0,0,0,3,949348.7517167903,1,1,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-02,943599.5283540504,750549.5283540504,198799.22336273995,193050.0,1,4,2,750549.5283540504,1,1,0,1,0,0,0,1,0,0,0.0,198747.55
2020-09-03,945120.5283540504,750549.5283540504,198799.22336273995,194571.0,1,4,2,750549.5283540504,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-04,942724.7189704103,551284.7189704104,398064.03274637996,391439.99999999994,1,4,2,551284.7189704104,0,0,1,0,1,0,0,0,0,0,0.0,199213.01
2020-09-07,927124.7189704104,551284.7189704104,398064.03274637996,375840.0,1,4,2,551284.7189704104,1,1,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-08,915929.1600817904,153597.16008179044,795751.591635,762332.0,2,5,1,153597.16008179044,1,1,1,1,1,0,0,0,0,0,0.0,397584.19
2020-09-09,883187.1457057905,5811.145705790463,943537.606011,877376.0,3,6,0,5811.145705790463,1,1,0,1,0,1,0,0,0,0,0.0,147747.6
2020-09-10,867387.6552013304,1355.6552013304627,947993.0965154599,866032.0,3,6,0,1355.6552013304627,2,2,1,0,1,2,0,0,0,0,0.0,4450.45
2020-09-11,891765.6552013304,1355.6552013304627,947993.0965154599,890410.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-14,899105.6552013304,1355.6552013304627,947993.0965154599,897750.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-15,899555.6552013304,1355.6552013304627,947993.0965154599,898200.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-16,889967.6552013304,1355.6552013304627,947993.0965154599,888612.0,3,6,0,1355.6552013304627,1,1,0,0,0,1,0,0,0,0,0.0,0.0
2020-09-17,896253.6552013304,1355.6552013304627,947993.0965154599,894898.0,3,6,0,1355.6552013304627,1,1,0,0,0,1,0,0,0,0,0.0,0.0
2020-09-18,919003.6552013304,1355.6552013304627,947993.0965154599,917648.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-21,915067.6552013304,1355.6552013304627,947993.0965154599,913712.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-22,896313.6552013304,1355.6552013304627,947993.0965154599,894958.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-23,899877.6552013304,1355.6552013304627,947993.0965154599,898522.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-24,875447.6552013304,1355.6552013304627,947993.0965154599,874092.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-25,872211.6552013304,1355.6552013304627,947993.0965154599,870856.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-28,879371.6552013304,1355.6552013304627,947993.0965154599,878016.0,3,6,0,1355.6552013304627,1,1,0,0,0,1,0,0,0,0,0.0,0.0
2020-09-29,882255.6552013304,1355.6552013304627,947993.0965154599,880900.0,3,6,0,1355.6552013304627,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-30,872955.6552013304,1355.6552013304627,947993.0965154599,871600.0,3,6,0,1355.6552013304627,1,1,0,0,0,1,0,0,0,0,0.0,0.0
