reason,metric,point,hac_ci_lo,hac_ci_hi,boot_ci_lo,boot_ci_hi
BLOCKED_K,blocked_minus_admitted_event_day,-5.549260440074617,,,-14.082733258339385,4.787659996992503
BLOCKED_CASH,blocked_minus_admitted_event_day,,,,,
