date,n_positions,cash,candidate_count,k_full,cash_insufficient
2020-07-09,0,949348.7517167903,0,0,0
2020-07-10,0,949348.7517167903,0,0,0
2020-07-13,0,949348.7517167903,0,0,0
2020-07-14,0,949348.7517167903,0,0,0
2020-07-15,0,949348.7517167903,0,0,0
2020-07-16,0,949348.7517167903,0,0,0
2020-07-17,0,949348.7517167903,0,0,0
2020-07-20,0,949348.7517167903,0,0,0
2020-07-21,0,949348.7517167903,0,0,0
2020-07-22,0,949348.7517167903,0,0,0
2020-07-23,0,949348.7517167903,0,0,0
2020-07-24,0,949348.7517167903,0,0,0
2020-07-27,0,949348.7517167903,0,0,0
2020-07-28,0,949348.7517167903,0,0,0
2020-07-29,0,949348.7517167903,0,0,0
2020-07-30,0,949348.7517167903,0,0,0
2020-07-31,0,949348.7517167903,0,0,0
2020-08-03,0,949348.7517167903,0,0,0
2020-08-04,0,949348.7517167903,0,0,0
2020-08-05,0,949348.7517167903,0,0,0
2020-08-06,0,949348.7517167903,0,0,0
2020-08-07,0,949348.7517167903,0,0,0
2020-08-10,0,949348.7517167903,0,0,0
2020-08-11,0,949348.7517167903,0,0,0
2020-08-12,0,949348.7517167903,0,0,0
2020-08-13,0,949348.7517167903,0,0,0
2020-08-14,0,949348.7517167903,0,0,0
2020-08-17,0,949348.7517167903,0,0,0
2020-08-18,0,949348.7517167903,0,0,0
2020-08-19,0,949348.7517167903,0,0,0
2020-08-20,0,949348.7517167903,0,0,0
2020-08-21,0,949348.7517167903,0,0,0
2020-08-24,0,949348.7517167903,0,0,0
2020-08-25,0,949348.7517167903,0,0,0
2020-08-26,0,949348.7517167903,0,0,0
2020-08-27,0,949348.7517167903,0,0,0
2020-08-28,0,949348.7517167903,0,0,0
2020-08-31,0,949348.7517167903,0,0,0
2020-09-01,0,949348.7517167903,1,0,0
2020-09-02,1,750549.5283540504,1,0,0
2020-09-03,1,750549.5283540504,0,0,0
2020-09-04,1,551284.7189704104,0,0,0
2020-09-07,1,551284.7189704104,1,0,0
2020-09-08,2,153597.16008179044,1,0,1
2020-09-09,3,5811.145705790463,1,1,0
2020-09-10,3,1355.6552013304627,2,1,0
2020-09-11,3,1355.6552013304627,0,1,0
2020-09-14,3,1355.6552013304627,0,1,0
2020-09-15,3,1355.6552013304627,0,1,0
2020-09-16,3,1355.6552013304627,1,1,0
2020-09-17,3,1355.6552013304627,1,1,0
2020-09-18,3,1355.6552013304627,0,1,0
2020-09-21,3,1355.6552013304627,0,1,0
2020-09-22,3,1355.6552013304627,0,1,0
2020-09-23,3,1355.6552013304627,0,1,0
2020-09-24,3,1355.6552013304627,0,1,0
2020-09-25,3,1355.6552013304627,0,1,0
2020-09-28,3,1355.6552013304627,1,1,0
2020-09-29,3,1355.6552013304627,0,1,0
2020-09-30,3,1355.6552013304627,1,1,0
2020-10-09,3,1355.6552013304627,0,1,0
2020-10-12,2,205888.62253629047,1,0,0
2020-10-13,3,8420.07405909049,0,1,0
2020-10-14,3,8420.07405909049,0,1,0
2020-10-15,3,8420.07405909049,0,1,0
2020-10-16,3,3448.0623894704904,0,1,0
2020-10-19,3,3448.0623894704904,0,1,0
2020-10-20,3,3448.0623894704904,0,1,0
2020-10-21,3,3448.0623894704904,0,1,0
2020-10-22,3,3448.0623894704904,0,1,0
2020-10-23,3,3448.0623894704904,1,1,0
2020-10-26,3,3448.0623894704904,1,1,0
2020-10-27,3,3448.0623894704904,0,1,0
2020-10-28,2,593741.7240432706,0,0,0
2020-10-29,2,593741.7240432706,0,0,0
2020-10-30,2,593741.7240432706,0,0,0
2020-11-02,2,593741.7240432706,0,0,0
2020-11-03,2,593741.7240432706,0,0,0
2020-11-04,2,593741.7240432706,0,0,0
