age_bin,n,slot_days,capital_days,blocked_signals,add_capital,realized_pnl
0-5d,0,0,0.0,0,0.0,0.0
6-10d,4,33,6522887.159829,16,0.0,98226.28070910013
11-20d,20,336,101877250.23647921,138,2571262.69,489495.792054161
21-40d,31,921,265737480.82175,463,5270670.42,294763.60313265177
41-60d,15,750,258899948.14557594,408,3807998.18,-156519.4332351691
61-90d,4,318,134702743.8498624,246,1825975.1499999997,-43422.76190447947
91-120d,1,106,47479825.49582702,80,358209.85,-97943.60455811996
120-+d,1,172,148480608.69358015,72,791971.1799999999,-281648.9383369199
