reason,n,missed_positive,avoided_negative,net
BLOCKED_K,123,1821334.8744960648,571959.0601118563,1249375.8143842085
BLOCKED_CASH,0,0.0,-0.0,0.0
BLOCKED_K+CASH,123,1821334.8744960648,571959.0601118563,1249375.8143842085
