sig_date,ts_code,block_reason,wait_days,release_date,ind_return,ind_time_to_breakeven,natural_exit_before_release
2021-09-29,002594.SZ,BLOCKED_K,13.0,2021-10-25,,,
2021-10-08,600089.SH,BLOCKED_K,11.0,2021-10-25,21.757208672823793,0.0,0.0
2021-11-01,000858.SZ,BLOCKED_K,6.0,2021-11-09,7.772649549904674,2.0,0.0
2021-11-02,601888.SH,BLOCKED_K,5.0,2021-11-09,7.8045788936873635,0.0,0.0
2021-11-02,000858.SZ,BLOCKED_K,5.0,2021-11-09,,,
2021-11-04,603259.SH,BLOCKED_K,3.0,2021-11-09,,,
2021-11-16,000625.SZ,BLOCKED_K,10.0,2021-11-30,-22.229994518631575,3.0,0.0
2021-11-26,600036.SH,BLOCKED_K,2.0,2021-11-30,7.780249533285357,2.0,0.0
2021-12-01,002129.SZ,BLOCKED_K,3.0,2021-12-06,7.212021342950852,7.0,0.0
2021-12-20,603259.SH,BLOCKED_K,45.0,2022-03-01,12.254494786218984,0.0,0.0
2021-12-20,002460.SZ,BLOCKED_K,45.0,2022-03-01,,,
2021-12-20,002466.SZ,BLOCKED_K,45.0,2022-03-01,1.837573601773871,0.0,1.0
2021-12-21,002466.SZ,BLOCKED_K,44.0,2022-03-01,,,
2021-12-21,300274.SZ,BLOCKED_K,44.0,2022-03-01,,,
2021-12-24,600111.SH,BLOCKED_K,41.0,2022-03-01,10.927469701064592,1.0,1.0
2021-12-24,002466.SZ,BLOCKED_K,41.0,2022-03-01,,,
2021-12-29,600036.SH,BLOCKED_K,38.0,2022-03-01,5.516341863497587,0.0,1.0
2022-01-05,300059.SZ,BLOCKED_K,34.0,2022-03-01,-5.7513210082683415,,0.0
2022-01-06,300059.SZ,BLOCKED_K,33.0,2022-03-01,,,
2022-01-07,600519.SH,BLOCKED_K,32.0,2022-03-01,0.9984159395398547,0.0,0.0
2022-01-13,600519.SH,BLOCKED_K,28.0,2022-03-01,,,
2022-01-13,600276.SH,BLOCKED_K,28.0,2022-03-01,-29.55698724716474,,0.0
2022-01-14,600030.SH,BLOCKED_K,27.0,2022-03-01,1.0102995428563415,0.0,1.0
2022-01-17,601888.SH,BLOCKED_K,26.0,2022-03-01,,,
2022-01-19,002466.SZ,BLOCKED_K,24.0,2022-03-01,,,
2022-01-20,000792.SZ,BLOCKED_K,23.0,2022-03-01,18.801769360068377,0.0,1.0
2022-01-24,000661.SZ,BLOCKED_K,21.0,2022-03-01,11.89884859958246,1.0,1.0
2022-01-25,000661.SZ,BLOCKED_K,20.0,2022-03-01,,,
2022-01-27,300274.SZ,BLOCKED_K,18.0,2022-03-01,,,
2022-01-28,000858.SZ,BLOCKED_K,17.0,2022-03-01,-8.807756178930596,,0.0
2022-02-07,000858.SZ,BLOCKED_K,16.0,2022-03-01,,,
2022-02-08,000858.SZ,BLOCKED_K,15.0,2022-03-01,,,
2022-02-08,002475.SZ,BLOCKED_K,15.0,2022-03-01,-17.15409169654668,0.0,0.0
2022-02-09,603259.SH,BLOCKED_K,14.0,2022-03-01,,,
2022-02-10,603259.SH,BLOCKED_K,13.0,2022-03-01,,,
2022-02-11,603259.SH,BLOCKED_K,12.0,2022-03-01,,,
2022-02-14,300059.SZ,BLOCKED_K,11.0,2022-03-01,,,
2022-02-15,300059.SZ,BLOCKED_K,10.0,2022-03-01,,,
2022-02-16,300059.SZ,BLOCKED_K,9.0,2022-03-01,,,
2022-02-24,600519.SH,BLOCKED_K,3.0,2022-03-01,,,
2022-03-03,300014.SZ,BLOCKED_K,40.0,2022-05-05,,,
2022-03-04,000002.SZ,BLOCKED_K,39.0,2022-05-05,,,
2022-03-07,600519.SH,BLOCKED_K,38.0,2022-05-05,,,
2022-03-07,600036.SH,BLOCKED_K,38.0,2022-05-05,,,
2022-03-08,002460.SZ,BLOCKED_K,37.0,2022-05-05,17.706849570514894,1.0,0.0
2022-03-09,600036.SH,BLOCKED_K,36.0,2022-05-05,,,
2022-03-14,300059.SZ,BLOCKED_K,33.0,2022-05-05,,,
2022-03-14,600036.SH,BLOCKED_K,33.0,2022-05-05,,,
2022-03-14,601888.SH,BLOCKED_K,33.0,2022-05-05,,,
2022-03-15,600519.SH,BLOCKED_K,32.0,2022-05-05,,,
2022-03-15,300059.SZ,BLOCKED_K,32.0,2022-05-05,,,
2022-03-15,601318.SH,BLOCKED_K,32.0,2022-05-05,,,
2022-03-15,600036.SH,BLOCKED_K,32.0,2022-05-05,,,
2022-03-29,601012.SH,BLOCKED_K,22.0,2022-05-05,-12.752364240157288,0.0,0.0
2022-03-29,002475.SZ,BLOCKED_K,22.0,2022-05-05,,,
2022-03-31,601012.SH,BLOCKED_K,20.0,2022-05-05,,,
2022-04-06,601012.SH,BLOCKED_K,18.0,2022-05-05,,,
2022-04-11,002460.SZ,BLOCKED_K,15.0,2022-05-05,,,
2022-04-14,300122.SZ,BLOCKED_K,12.0,2022-05-05,-6.645958234266682,0.0,0.0
2022-04-14,300274.SZ,BLOCKED_K,12.0,2022-05-05,,,
2022-04-18,600036.SH,BLOCKED_K,10.0,2022-05-05,,,
2022-04-19,600036.SH,BLOCKED_K,9.0,2022-05-05,,,
2022-04-20,600036.SH,BLOCKED_K,8.0,2022-05-05,,,
2022-04-21,300274.SZ,BLOCKED_K,7.0,2022-05-05,,,
2022-04-21,600036.SH,BLOCKED_K,7.0,2022-05-05,,,
2022-04-22,300274.SZ,BLOCKED_K,6.0,2022-05-05,,,
2022-04-25,600036.SH,BLOCKED_K,5.0,2022-05-05,,,
2022-04-25,601012.SH,BLOCKED_K,5.0,2022-05-05,,,
2022-04-25,002466.SZ,BLOCKED_K,5.0,2022-05-05,,,
2022-04-26,600036.SH,BLOCKED_K,4.0,2022-05-05,,,
2022-07-27,603259.SH,BLOCKED_K,7.0,2022-08-05,-6.553924195303395,,0.0
2022-07-29,000858.SZ,BLOCKED_K,5.0,2022-08-05,-2.4673011477159523,4.0,0.0
2022-08-02,300059.SZ,BLOCKED_K,3.0,2022-08-05,,,
2022-08-03,601012.SH,BLOCKED_K,2.0,2022-08-05,-1.5712301907594528,3.0,0.0
2022-08-04,601012.SH,BLOCKED_K,1.0,2022-08-05,,,
2022-08-19,002466.SZ,BLOCKED_K,8.0,2022-08-31,13.385590477234006,0.0,1.0
2022-08-19,688599.SH,BLOCKED_K,8.0,2022-08-31,4.900961296612725,0.0,0.0
2022-08-19,002459.SZ,BLOCKED_K,8.0,2022-08-31,5.627000867343111,0.0,0.0
2022-08-22,601012.SH,BLOCKED_K,7.0,2022-08-31,,,
2022-08-23,002271.SZ,BLOCKED_K,6.0,2022-08-31,-5.965240206705305,,0.0
2022-08-24,000625.SZ,BLOCKED_K,5.0,2022-08-31,2.31475867645841,3.0,0.0
2022-08-25,002460.SZ,BLOCKED_K,4.0,2022-08-31,2.226213115920718,0.0,0.0
2022-08-29,000858.SZ,BLOCKED_K,2.0,2022-08-31,,,
2022-08-29,601166.SH,BLOCKED_K,2.0,2022-08-31,,,
2022-08-30,000858.SZ,BLOCKED_K,1.0,2022-08-31,,,
2022-09-01,300750.SZ,BLOCKED_K,16.0,2022-09-26,-1.3981718838619202,,0.0
2022-09-01,002466.SZ,BLOCKED_K,16.0,2022-09-26,0.4175574221779625,2.0,0.0
2022-09-02,002466.SZ,BLOCKED_K,15.0,2022-09-26,,,
2022-09-05,600519.SH,BLOCKED_K,14.0,2022-09-26,,,
2022-09-07,600519.SH,BLOCKED_K,12.0,2022-09-26,,,
2022-09-14,603259.SH,BLOCKED_K,8.0,2022-09-26,,,
2022-09-16,300059.SZ,BLOCKED_K,6.0,2022-09-26,,,
2022-09-16,600030.SH,BLOCKED_K,6.0,2022-09-26,3.2914258355483077,0.0,0.0
2022-09-19,300059.SZ,BLOCKED_K,5.0,2022-09-26,,,
2022-09-19,601012.SH,BLOCKED_K,5.0,2022-09-26,,,
2022-09-20,300059.SZ,BLOCKED_K,4.0,2022-09-26,,,
2022-09-20,600703.SH,BLOCKED_K,4.0,2022-09-26,,,
2022-09-21,300059.SZ,BLOCKED_K,3.0,2022-09-26,,,
2022-09-21,300760.SZ,BLOCKED_K,3.0,2022-09-26,,,
2022-09-21,600703.SH,BLOCKED_K,3.0,2022-09-26,,,
2022-09-22,300059.SZ,BLOCKED_K,2.0,2022-09-26,,,
2022-09-29,603799.SH,BLOCKED_K,4.0,2022-10-12,,,
2022-10-10,600519.SH,BLOCKED_K,2.0,2022-10-12,,,
2022-10-10,600036.SH,BLOCKED_K,2.0,2022-10-12,4.74708231806275,,0.0
2022-10-10,000568.SZ,BLOCKED_K,2.0,2022-10-12,5.894426001503926,0.0,0.0
2022-10-10,002466.SZ,BLOCKED_K,2.0,2022-10-12,,,
2022-10-11,600519.SH,BLOCKED_K,1.0,2022-10-12,,,
2022-10-11,002050.SZ,BLOCKED_K,1.0,2022-10-12,,,
2022-10-12,002371.SZ,BLOCKED_K,12.0,2022-10-28,10.597667780822029,2.0,0.0
2022-10-12,600036.SH,BLOCKED_K,12.0,2022-10-28,,,
2022-10-13,600036.SH,BLOCKED_K,11.0,2022-10-28,,,
2022-10-19,000568.SZ,BLOCKED_K,7.0,2022-10-28,,,
2022-10-20,600887.SH,BLOCKED_K,6.0,2022-10-28,,,
2022-10-24,000858.SZ,BLOCKED_K,4.0,2022-10-28,13.014502136358589,0.0,0.0
2022-10-24,600036.SH,BLOCKED_K,4.0,2022-10-28,,,
2022-10-24,601318.SH,BLOCKED_K,4.0,2022-10-28,,,
2022-10-24,000568.SZ,BLOCKED_K,4.0,2022-10-28,,,
2022-10-25,300059.SZ,BLOCKED_K,3.0,2022-10-28,,,
2022-10-25,000858.SZ,BLOCKED_K,3.0,2022-10-28,,,
2022-10-25,000568.SZ,BLOCKED_K,3.0,2022-10-28,,,
2022-10-26,300059.SZ,BLOCKED_K,2.0,2022-10-28,,,
2022-10-26,002714.SZ,BLOCKED_K,2.0,2022-10-28,,,
2022-10-27,000858.SZ,BLOCKED_K,1.0,2022-10-28,,,
2022-10-27,000568.SZ,BLOCKED_K,1.0,2022-10-28,,,
2022-10-28,300059.SZ,BLOCKED_K,5.0,2022-11-04,,,
2022-10-31,000651.SZ,BLOCKED_K,4.0,2022-11-04,,,
2022-11-01,600522.SH,BLOCKED_K,3.0,2022-11-04,-5.676303523410963,2.0,0.0
2022-11-23,002812.SZ,BLOCKED_K,6.0,2022-12-01,,,
2022-11-28,600522.SH,BLOCKED_K,3.0,2022-12-01,,,
2022-11-28,603259.SH,BLOCKED_K,3.0,2022-12-01,6.738265986701266,0.0,0.0
2022-12-28,000625.SZ,BLOCKED_K,3.0,2023-01-03,15.403895272762636,0.0,0.0
2022-12-30,002709.SZ,BLOCKED_K,1.0,2023-01-03,15.538268097973235,0.0,0.0
2023-03-08,600519.SH,BLOCKED_K,17.0,2023-03-31,3.358107895598216,0.0,1.0
2023-03-10,002594.SZ,BLOCKED_K,15.0,2023-03-31,7.839512102970262,7.0,0.0
2023-03-10,600519.SH,BLOCKED_K,15.0,2023-03-31,,,
2023-03-13,002594.SZ,BLOCKED_K,14.0,2023-03-31,,,
2023-03-14,300274.SZ,BLOCKED_K,13.0,2023-03-31,,,
2023-03-14,002594.SZ,BLOCKED_K,13.0,2023-03-31,,,
2023-03-16,601012.SH,BLOCKED_K,11.0,2023-03-31,,,
2023-03-16,300274.SZ,BLOCKED_K,11.0,2023-03-31,,,
2023-04-27,600036.SH,BLOCKED_K,14.0,2023-05-22,-0.6278320762058595,0.0,0.0
2023-05-04,000651.SZ,BLOCKED_K,12.0,2023-05-22,6.144996620188443,24.0,0.0
2023-05-09,688981.SH,BLOCKED_K,9.0,2023-05-22,-1.9912914951639944,0.0,0.0
2023-05-12,601899.SH,BLOCKED_K,6.0,2023-05-22,,,
2023-05-29,300059.SZ,BLOCKED_K,39.0,2023-07-25,,,
2023-05-29,601012.SH,BLOCKED_K,39.0,2023-07-25,,,
2023-05-30,300059.SZ,BLOCKED_K,38.0,2023-07-25,,,
2023-05-30,601012.SH,BLOCKED_K,38.0,2023-07-25,,,
2023-06-07,300750.SZ,BLOCKED_K,32.0,2023-07-25,8.015096907867838,3.0,0.0
2023-06-09,002415.SZ,BLOCKED_K,30.0,2023-07-25,,,
2023-07-11,600570.SH,BLOCKED_K,10.0,2023-07-25,12.935015317595871,2.0,0.0
2023-07-19,300750.SZ,BLOCKED_K,4.0,2023-07-25,,,
