year,return_pct,max_dd_pct,trades,win_rate
2020,20.5,-32.8,6,83.0
2021,60.0,-4.6,8,100.0
2022,-29.0,-36.7,5,60.0
2023,48.7,-7.1,8,88.0
2024,27.4,-7.9,5,100.0
2025,18.6,-18.1,4,75.0
2026,8.0,-9.9,3,33.0
