b,random_k3_mean_pp
0,4.351657057906584
1,4.181917824580748
2,4.283653486090774
3,4.4098506988929085
4,4.971412591684478
5,4.4014378407741335
6,4.602496738644907
7,4.517236766603624
8,4.365577896076389
9,4.252192500245705
10,4.018159558293596
11,4.177472321695154
12,4.415065977681791
13,4.116120784460177
14,4.27752340124584
15,4.534777993913483
16,4.710296773475935
17,4.254829280604481
18,4.410585074164163
19,4.144206245696731
20,4.32162029130239
21,4.113113538008047
22,4.288823504076899
23,4.220406868622087
24,4.183919843639073
25,4.718591623839525
26,3.679312592471194
27,4.180927854634816
28,4.39512253890006
29,4.468195869274226
30,4.424196882762234
31,4.453527534831165
32,4.117996955616462
33,4.514809371475904
34,4.430162054170343
35,4.087835403674421
36,4.130525828929393
37,4.229440830988876
38,4.5961911840401335
39,4.11924732781472
40,3.989974033729876
41,4.321098760596487
42,4.114449994130885
43,4.5706939904364
44,4.321904395716098
45,4.400597145832664
46,4.180981019768178
47,4.326953360867642
48,4.402121603830443
49,4.546845332341224
50,4.479493933551349
51,4.056192696045785
52,4.443737872228776
53,4.747469824841956
54,4.779948075009118
55,4.398832445984736
56,4.470966842540063
57,4.496151320850349
58,4.459905146521092
59,4.362829386651025
60,4.011451781618546
61,4.153435224964829
62,4.2379609250926205
63,4.670491013910372
64,4.189185320828688
65,4.399187668552724
66,4.572708489517321
67,4.552269653903518
68,4.345089096374229
69,4.45555155223408
70,4.170748840584009
71,4.2599177382301345
72,4.591812634929003
73,4.267790541669204
74,4.698657254336454
75,4.4751289147950795
76,4.424120618486968
77,4.309257998395905
78,4.246667753442937
79,4.430842518980241
80,4.343619038775867
81,4.384720522865945
82,4.427154468076034
83,4.380563819532631
84,4.3552227489380355
85,4.685127789908438
86,4.13147670700774
87,4.036691985239893
88,4.449644389476331
89,4.196563315830637
90,4.347939304511059
91,4.446650030992746
92,4.387531970038798
93,4.383579288125519
94,4.664309051382452
95,3.9803390575099558
96,4.187656848499087
97,4.559835385566423
98,4.553978797891953
99,4.153727261790543
100,4.133343421002527
101,4.339416198134968
102,4.160610851479527
103,4.459488459170232
104,4.5331590125497145
105,4.408572759848115
106,3.8733895347298137
107,4.210446178155114
108,4.5906087404448295
109,4.343809772369712
110,4.489621734998155
111,4.567793448158786
112,4.191684350040536
113,3.9880629126435423
114,4.311555611201986
115,4.225368410836226
116,4.407335956757062
117,4.449424772381521
118,4.5894463056491865
119,4.5010112852310415
120,4.4878690278900635
121,4.164792287633671
122,4.283638739304953
123,4.0101361621622695
124,4.207492323828141
125,4.457837258261368
126,4.663095134210755
127,4.002197084404614
128,4.629356665570926
129,4.38304540480683
130,4.336500393082433
131,4.640044571254002
132,4.4763420728063945
133,4.317692370595288
134,4.4272331752513105
135,4.45044105487998
136,4.326831477915914
137,4.260361039231726
138,4.387022741300024
139,4.36008793341922
140,4.224324650085952
141,4.1805510408285755
142,4.5740244639379855
143,4.528057173388153
