feature_id,K3_lift_point,K3_lift_boot_mean,K3_lift_ci_lo,K3_lift_ci_hi,centering_diff
F01,-0.10439225199546544,-0.0974797520229273,-0.5214177971653333,0.3119030168395776,0.006912499972538136
F02,0.24475097994035191,0.27790642528385384,-0.18519929515816747,0.7920961515665674,0.03315544534350193
F03,0.4262474605328443,0.44381671500078446,-0.03730771614935103,0.9331393527951017,0.017569254467940165
F04,0.5479435684339581,0.570178085782838,0.026725386470097885,1.096297151971276,0.022234517348879934
F05,0.5278052223342852,0.5349838279885843,0.01796408263802328,1.0494023017776795,0.007178605654299175
F06,0.9337727379224748,0.908624147593993,0.3577868945490618,1.4245663710725445,-0.025148590328481824
F07,0.831673057783898,0.8729324981415034,0.21985494628956367,1.535079583101242,0.041259440357605426
F08,0.34219488858521013,0.37512627231939943,-0.15830369708228834,0.899227020859365,0.0329313837341893
F09,0.6715440240506226,0.6640723965079164,0.10041669765604729,1.2189009343533352,-0.0074716275427062495
F10,0.04773985198951436,0.010030480056759435,-0.6251349445270722,0.6486512305684428,-0.03770937193275492
F11,0.4018205339650004,0.38360579086492885,-0.04725367328188014,0.8173294199870381,-0.01821474310007154
F12,0.06424923798620703,0.04468122692364709,-0.3679800114238219,0.4570216754487693,-0.019568011062559947
F13,0.7318380038093408,0.7321670890533021,0.22783959077435956,1.2256119878097917,0.00032908524396124683
F14,0.5735626742484342,0.5410740422188417,0.10653346301216887,0.9595386411341239,-0.03248863202959251
F15,-0.6152311641125335,-0.6014390765389074,-0.9537508090491279,-0.2173998148212593,0.013792087573626155
F16,-0.9353527492421388,-0.9102102503245612,-1.3287839374748172,-0.5044883913668518,0.025142498917577694
F17,-0.4424301457064485,-0.3983444636034167,-0.9102787415452323,0.11068596802831071,0.04408568210303182
