metric,n_episodes,n_gap,gap_pct
all_episodes,35009,196,0.56
F04,35009,196,0.56
F05,35009,196,0.56
F06,34985,196,0.56
F07,35009,196,0.56
F09,35009,196,0.56
F13,35009,196,0.56
