hypothesis_id,mean_regime_excess_v2,hac_t_v2,raw_p_v2,bh_q_v2,boot_p_v2,nullA_p_v2,nullC_p_v2,status_v2,mean_regime_excess_v3,hac_t_v3,raw_p_v3,bh_q_v3,boot_p_v3,nullA_p_v3,nullC_p_v3,status_v3,boot_ci_lo,boot_ci_hi,positive_boot_support,negative_boot_support,nw_lag,excess_delta,rawp_delta,nullA_delta,nullC_delta,bootp_delta,status_changed,bhq_changed_significance
P0001,-0.0025083475627716,-0.7724496681142606,0.4400998792411231,0.6287141132016045,0.8025,0.4288,0.4378,VALID_SAMPLE,-0.0025083475627716723,-0.7724496681142606,0.44009987924112315,0.6287141132016045,0.7875,0.4254,0.4076,VALID_SAMPLE,-0.01001609484087829,0.00403895794936031,False,False,6.0,-7.24247051220317e-17,5.551115123125783e-17,-0.003400000000000014,-0.030200000000000005,-0.015000000000000013,False,False
P0002,-0.0029643474069782,-0.5952398377138926,0.551868907754526,0.7525485105743537,0.7395,0.5726,0.6086,VALID_SAMPLE,-0.0029643474069782935,-0.5952398377138926,0.551868907754526,0.7525485105743537,0.7205,0.5534,0.585,VALID_SAMPLE,-0.014759184584065861,0.007905753543516955,False,False,6.0,-9.367506770274758e-17,0.0,-0.019199999999999995,-0.023600000000000065,-0.019000000000000017,False,False
P0003,-0.0043384912964058,-1.2067691169567905,0.2279224200714138,0.506494266825364,0.8895,0.214,0.2216,VALID_SAMPLE,-0.004338491296405832,-1.2067691169567905,0.22792242007141383,0.506494266825364,0.8825,0.187,0.2056,VALID_SAMPLE,-0.013220838296409894,0.0029731988607712,False,False,6.0,-3.209238430557093e-17,2.7755575615628914e-17,-0.026999999999999996,-0.015999999999999986,-0.007000000000000006,False,False
P0004,-0.0034725473089445,-0.6581195036592854,0.5106743720194117,0.7125688911898768,0.7645,0.5626,0.5606,VALID_SAMPLE,-0.0034725473089445152,-0.6581195036592854,0.5106743720194117,0.7125688911898768,0.7475,0.524,0.5288,VALID_SAMPLE,-0.015963641039969178,0.007948618888693663,False,False,6.0,-1.5178830414797062e-17,0.0,-0.03859999999999997,-0.03179999999999994,-0.016999999999999904,False,False
P0005,-0.0040581537366719,-0.9930469269938846,0.3210606311929798,0.5351010519882997,0.8475,0.2812,0.2858,VALID_SAMPLE,-0.004058153736671986,-0.9930469269938846,0.32106063119297984,0.5351010519882997,0.8385,0.273,0.263,VALID_SAMPLE,-0.013034838006216545,0.004183289096093789,False,False,6.0,-8.586881206085195e-17,5.551115123125783e-17,-0.008199999999999985,-0.022799999999999987,-0.009000000000000008,False,False
P0006,-0.0021044406482586,-0.3253075033069783,0.745054175144661,0.8814683612720997,0.639,0.789,0.7492,VALID_SAMPLE,-0.002104440648258668,-0.3253075033069783,0.745054175144661,0.8814683612720997,0.6455,0.7508,0.726,VALID_SAMPLE,-0.015898386513970623,0.01096912270912373,False,False,6.0,-6.808789643208968e-17,0.0,-0.03820000000000001,-0.0232,0.00649999999999995,False,False
P0007,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0008,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,INSUFFICIENT_SAMPLE,,,,,,,,,,,False,False
P0009,-0.0006202632884209,-0.2427525128905467,0.8082657835739221,0.8814683612720997,0.5865,0.7892,0.8356,VALID_SAMPLE,-0.0006202632884209795,-0.2427525128905467,0.8082657835739221,0.8814683612720997,0.596,0.8216,0.8306,VALID_SAMPLE,-0.005639102904930611,0.004113404238744174,False,False,6.0,-7.947201924318748e-17,0.0,0.032399999999999984,-0.0050000000000000044,0.009499999999999953,False,False
P0010,-0.0008877833386598,-0.2241499167710231,0.8227038038539597,0.8814683612720997,0.5665,0.8664,0.8596,VALID_SAMPLE,-0.000887783338659835,-0.22414991677102317,0.8227038038539597,0.8814683612720997,0.569,0.8488,0.8688,VALID_SAMPLE,-0.009675686195108392,0.007312135078287532,False,False,6.0,-3.5019730171281793e-17,0.0,-0.01759999999999995,0.009199999999999986,0.0024999999999999467,False,False
P0011,-0.0007149389787186,-0.2557273388035575,0.7982353471803181,0.8814683612720997,0.5845,0.8102,0.8314,VALID_SAMPLE,-0.0007149389787186626,-0.2557273388035575,0.7982353471803181,0.8814683612720997,0.597,0.8012,0.823,VALID_SAMPLE,-0.006281763294093381,0.004491147413030464,False,False,6.0,-6.25584653524136e-17,0.0,-0.009000000000000008,-0.008400000000000074,0.012499999999999956,False,False
P0012,-0.0015029697123252,-0.3707483471208125,0.7109354075651492,0.8705331521205908,0.624,0.705,0.7892,VALID_SAMPLE,-0.0015029697123252906,-0.3707483471208125,0.7109354075651492,0.8705331521205908,0.6215,0.763,0.775,VALID_SAMPLE,-0.010584462853386697,0.00722392176890497,False,False,6.0,-9.063930161978817e-17,0.0,0.05800000000000005,-0.01419999999999999,-0.0024999999999999467,False,False
P0013,-1.13265177976319e-05,-0.0034897436318646,0.997216675468796,0.997216675468796,0.503,0.9962,0.998,VALID_SAMPLE,-1.13265177976319e-05,-0.0034897436318646973,0.9972166754687959,0.9972166754687959,0.4985,0.9988,0.9978,VALID_SAMPLE,-0.007289147747250007,0.006989582104297841,False,False,6.0,0.0,-1.1102230246251565e-16,0.0026000000000000467,-0.00019999999999997797,-0.004500000000000004,False,False
