winner_mae_le,n_winners_breached,pct_of_winners
-5,39515,57.1430637300979
-10,20738,29.989443391997224
-15,11126,16.089427484779684
-20,6355,9.19003340515683
-25,3669,5.305780104409191
-30,2184,3.1583057367210885
