day,n_alive,p5,p10,p25,p50,p75,p90,p95,mean
0,299,0.953703235278253,0.9680552745711352,0.9864317412106104,0.999933424798088,1.0169354994311295,1.0289456153562506,1.0367839626091955,0.9994241775933224
1,299,0.9362009797203742,0.9510274523897695,0.973539977344028,0.9972711271412571,1.0193554017615742,1.0443215763383618,1.061226285122901,0.9972340028904481
2,299,0.9242758286995053,0.9452535510150801,0.9730291685426216,0.996075666646677,1.0248866754477155,1.052711129381234,1.0785484171369133,0.997687969447373
3,297,0.9094213986111183,0.9319282402128821,0.9656672952931802,0.9959878344852298,1.025854925789381,1.0644588062038847,1.0918969596213086,0.9972981587509774
5,295,0.9042175367832508,0.9259624342438033,0.9644889506780656,0.9972181922633319,1.0318624675963781,1.0791655376577582,1.1099841148648644,0.999935474358609
10,281,0.8471391425462892,0.8850441316752818,0.9466842384548121,0.9941107843205746,1.0381984427785955,1.083753791335019,1.1287845603270217,0.9898132307633943
20,204,0.8065637425222021,0.8463117703975608,0.9089545490419435,0.9563368403746636,1.0069253934637807,1.067461158562975,1.1092343758031677,0.9522090221140134
30,136,0.7501483739750145,0.7934163495432964,0.844792881044207,0.9060711534816277,0.9841696542366215,1.027828929895092,1.051180646436649,0.90882563502547
40,92,0.713799112172326,0.7640293538063757,0.8171262708483125,0.8831400912549727,0.9469789216337665,1.0053057298206272,1.0175965244926566,0.8827664700484606
60,35,0.6972620227347495,0.7073465285806484,0.7342949048189955,0.8252991954137509,0.8698264335789275,0.9169000960679528,0.9761901114933071,0.8101277702285151
90,13,0.5831066206295743,0.6207680543479175,0.6489255425425638,0.6878720203080902,0.7743113469985718,0.7970497601818758,0.8019426751495886,0.6934209931014537
120,4,0.5941849485708439,0.6015969824039122,0.623833083903117,0.6862264460489043,0.7382033264710991,0.7416897608678377,0.7428519056667504,0.6758099643253118
