signal_date,available_slots,baseline_stock,atr_stock,baseline_atr_pct,atr_stock_atr_pct,baseline_ind_ret,atr_ind_ret,baseline_ind_mae,atr_ind_mae,baseline_port_ret,atr_port_ret,baseline_port_pnl,atr_port_pnl,baseline_entry,atr_entry,baseline_exit,atr_exit,baseline_levels,atr_levels,baseline_exit_type,atr_exit_type,eq_div_7d,eq_div_20d,eq_div_60d
2021-02-25,1,300059.SZ,002594.SZ,0.0584622671297758,0.0740286738351254,,,,,-5.45,24.07,-10814.738126399956,137850.37866180006,2021-02-26,2021-02-26,2021-04-02,2021-06-08,1,3,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2257.6878273496404,-5034.3724107102025,-16265.435952050146
2021-04-15,1,601166.SH,600276.SH,0.0350599520383693,0.0354039912387442,,,,,10.16,2.98,19181.56621140003,5889.597156000091,2021-04-16,2021-04-16,2021-05-12,2021-05-17,1,1,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-19785.88908243028,-42293.41769879009,-156301.0096711102
2021-05-24,1,000661.SZ,002714.SZ,0.0456793718838824,0.0532120743034055,3.543179209088439,-18.715268930191936,-16.869232318763217,-56.67478713615456,3.64,-31.9,18776.778029100038,-132078.3917091799,2021-05-25,2021-05-25,2021-07-19,2021-09-27,3,3,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-30815.222688530106,-84562.8943957903,-231397.92007671052
2021-11-16,1,600030.SH,000625.SZ,0.0261974177426072,0.0589764641488779,7.942169042945349,-22.229994518631575,-1.3115700694119603,-53.29984395047269,7.94,-21.58,15781.336284420046,-130012.21746683982,2021-11-17,2021-11-17,2021-12-06,2022-05-06,1,4,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-352846.00962915085,-371946.73461427074,-397815.750857751
2022-03-03,1,000858.SZ,300014.SZ,0.0331465919701213,0.0616589108288265,,,,,-8.53,11.05,-16906.98683321994,21515.561460000055,2022-03-04,2022-03-04,2022-05-30,2022-06-01,1,1,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-425552.1787343309,-457695.1787343309,-393729.5049423509
2022-10-12,1,600519.SH,002371.SZ,0.0227392045454545,0.0729568965517241,,10.597667780822029,,-5.446303563198207,-3.85,10.6,-6637.773531959974,19113.42458592003,2022-10-13,2022-10-13,2022-12-01,2022-12-14,1,1,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-328968.96158865094,-338820.100485991,-379809.2546356709
