feature_a,feature_b,spearman,same_family
R02_ALL_A_EW_RET20,R03_ALL_A_MA20_SLOPE,0.9287041002954464,True
R04_BREADTH_UP1D,R06_CROSS_SECTION_P10_RET,0.9110137414278578,False
R02_ALL_A_EW_RET20,R07_BREADTH_MA20,0.7943443122664957,False
R03_ALL_A_MA20_SLOPE,R07_BREADTH_MA20,0.6698990167419612,False
R01_ALL_A_EW_RET60,R02_ALL_A_EW_RET20,0.5537627987681918,True
R01_ALL_A_EW_RET60,R03_ALL_A_MA20_SLOPE,0.5428503540666865,True
R05_LIMIT_DOWN_SHARE,R06_CROSS_SECTION_P10_RET,-0.5099326909921126,True
R01_ALL_A_EW_RET60,R07_BREADTH_MA20,0.48054071376092294,False
R04_BREADTH_UP1D,R05_LIMIT_DOWN_SHARE,-0.3745326426957054,False
R06_CROSS_SECTION_P10_RET,R07_BREADTH_MA20,0.3415553694468729,False
R05_LIMIT_DOWN_SHARE,R07_BREADTH_MA20,-0.33737675516471066,False
R04_BREADTH_UP1D,R07_BREADTH_MA20,0.2950032942662808,True
R02_ALL_A_EW_RET20,R06_CROSS_SECTION_P10_RET,0.21437691077869375,False
R02_ALL_A_EW_RET20,R05_LIMIT_DOWN_SHARE,-0.21331891349204696,False
R01_ALL_A_EW_RET60,R05_LIMIT_DOWN_SHARE,-0.19379509181900892,False
R02_ALL_A_EW_RET20,R04_BREADTH_UP1D,0.15990191492636968,False
R01_ALL_A_EW_RET60,R06_CROSS_SECTION_P10_RET,0.1596611588302473,False
R01_ALL_A_EW_RET60,R04_BREADTH_UP1D,0.12183310100799985,False
R03_ALL_A_MA20_SLOPE,R05_LIMIT_DOWN_SHARE,-0.10319293106427092,False
R03_ALL_A_MA20_SLOPE,R06_CROSS_SECTION_P10_RET,0.0767322211362321,False
R03_ALL_A_MA20_SLOPE,R04_BREADTH_UP1D,0.021872958913920344,False
