总收益%,年化收益%,最大回撤%,年化波动%,Sharpe,交易次数,胜率%,平均盈利%,平均亏损%,盈亏比,ProfitFactor,股票利用率%,ETF利用率%,总资金利用率%,年度收益%,配置
114.83,12.71,-16.79,13.6,0.92,39,82.1,8.54,-4.6,1.86,5.98,69.8,0.0,69.8,"{'2020': np.float64(7.43), '2021': np.float64(42.85), '2022': np.float64(-1.67), '2023': np.float64(22.58), '2024': np.float64(7.71), '2025': np.float64(9.49), '2026': np.float64(-0.9)}",纯股票(比例0%)
135.75,14.36,-30.36,15.28,1.12,39,82.1,8.54,-4.6,1.86,5.98,69.8,100.0,100.0,"{'2020': np.float64(11.2), '2021': np.float64(50.02), '2022': np.float64(-20.08), '2023': np.float64(34.39), '2024': np.float64(15.83), '2025': np.float64(13.09), '2026': np.float64(1.61)}",ETF目标30%
158.91,16.05,-35.95,16.98,1.18,39,82.1,8.54,-4.6,1.86,5.98,69.8,100.0,100.0,"{'2020': np.float64(15.21), '2021': np.float64(54.31), '2022': np.float64(-27.08), '2023': np.float64(40.55), '2024': np.float64(21.05), '2025': np.float64(15.32), '2026': np.float64(3.27)}",ETF目标50%
190.93,18.18,-36.97,18.84,1.2,39,82.1,8.54,-4.6,1.86,5.98,69.8,100.0,100.0,"{'2020': np.float64(19.62), '2021': np.float64(58.51), '2022': np.float64(-29.47), '2023': np.float64(44.42), '2024': np.float64(23.9), '2025': np.float64(17.51), '2026': np.float64(5.14)}",ETF目标70%
226.48,20.33,-36.73,21.55,1.16,39,82.1,8.54,-4.6,1.86,5.98,69.8,100.0,100.0,"{'2020': np.float64(20.51), '2021': np.float64(60.04), '2022': np.float64(-28.99), '2023': np.float64(48.7), '2024': np.float64(27.39), '2025': np.float64(18.59), '2026': np.float64(8.0)}",ETF目标100%
