version,n_selected,med_amount,p10_amount,p5_amount,med_rank,p50_amt_ratio,p90_amt_ratio,p95_amt_ratio,p99_amt_ratio
B0,78,5985227.3705,3636092.2443,3151103.64655,5.0,29.9261368525,47.69972683449999,51.35927204874998,62.26422157165004
B1,85,5360893.295,3425756.0656,2966210.4036,6.0,26.804466474999998,45.266161690000004,47.216407401999994,55.60508695419994
B2,58,220560.2,55812.3945,35753.9699,1018.0,1.102801,3.8533786685000004,8.32599356349999,17.7858336189
