stop_pct,sample,period,n,mean,median,win_rate,pf,p5,net_stop_value
-10.0,PRIMARY,EARLY,150,1.914544041123566,-3.033663560777695,45.33333333333333,0.7651753872532537,-8.113228213273665,-1881678.6046615979
-10.0,PRIMARY,LATE,149,1.3718975755356495,-1.4362664284123994,45.63758389261745,0.7314742594245263,-9.338118681073848,-2312518.012267733
-10.0,SECONDARY,EARLY,35009,2.8743882780268804,2.6590668777277773,56.368362421091724,1.0526205176460033,-9.122125128323693,-416699846.51840234
-10.0,SECONDARY,LATE,54037,2.31961569250378,1.685672912422478,53.42635601532283,0.8406823921142875,-10.181684364200532,-710031755.2947879
-12.5,PRIMARY,EARLY,150,2.3236183549763827,2.8020895047067667,53.333333333333336,0.7821390572851946,-9.38774942134098,-1900918.0542079809
-12.5,PRIMARY,LATE,149,1.9142850884937688,1.7797735978262685,53.691275167785236,0.8535170509805157,-11.667972403480983,-2028616.910401028
-12.5,SECONDARY,EARLY,35009,3.3420543231748083,3.8674480941897933,63.14661944071525,1.1127358344057479,-10.200645126516465,-379877927.12346834
-12.5,SECONDARY,LATE,54037,2.6089520315913184,3.0510732486195735,59.18352240131761,0.8534117196305224,-10.983281300287496,-714715117.064473
-15.0,PRIMARY,EARLY,150,2.5480926217000586,3.316560051691389,56.666666666666664,0.7657072566001354,-10.81329427436881,-2074272.3371276655
-15.0,PRIMARY,LATE,149,1.9713376882457072,2.8522101436284233,56.375838926174495,0.8446459641289968,-12.68333733652952,-2094354.9563282984
-15.0,SECONDARY,EARLY,35009,3.6680987631205437,4.477881247258982,67.93967265560285,1.1523341831535385,-11.38955836156795,-352260980.55504996
-15.0,SECONDARY,LATE,54037,2.8285670127407427,3.7357384990085882,63.415807687325355,0.8669688717645702,-12.334665401528346,-711133797.3114256
-17.5,PRIMARY,EARLY,150,2.8810126990772713,3.75950245933712,63.33333333333333,0.8129827043267004,-12.605939674460972,-1904162.393996371
-17.5,PRIMARY,LATE,149,2.1409240475353886,3.585730933845497,61.07382550335571,0.8773217890230898,-14.929527375739665,-2031262.6012960873
-17.5,SECONDARY,EARLY,35009,3.948261788725593,4.860928249641037,71.43306007026764,1.193446868006056,-12.690209639765488,-323947914.42005897
-17.5,SECONDARY,LATE,54037,2.9868747964850053,4.103720010190625,66.30086792382997,0.8717199565199371,-13.819327244346365,-713851391.0853275
-20.0,PRIMARY,EARLY,150,2.9503716921908603,4.557320235724469,67.33333333333333,0.7934246695342175,-14.247836647998788,-2034879.8086963443
-20.0,PRIMARY,LATE,149,2.707298456815659,3.872684453553771,65.77181208053692,1.0523049571800205,-16.837258297606375,-1509240.4415277923
-20.0,SECONDARY,EARLY,35009,4.16272269277952,5.107550061568129,73.85815076123282,1.231930038697563,-14.071842471760139,-297892277.1555306
-20.0,SECONDARY,LATE,54037,3.1205368106094955,4.355268143216591,68.39387826859374,0.8757138761366116,-15.452241311408754,-715527916.8227451
-22.5,PRIMARY,EARLY,150,3.2195937968684856,4.690790861375002,70.0,0.7921590199708419,-15.93798594770525,-2082535.8068084898
-22.5,PRIMARY,LATE,149,2.98891462866242,4.47320430931633,67.78523489932886,1.0229926357650065,-16.443446941274505,-1588778.364316782
-22.5,SECONDARY,EARLY,35009,4.38748432643285,5.280762749353526,75.70339055671398,1.2929589186974826,-15.343239097326515,-261665885.3905968
-22.5,SECONDARY,LATE,54037,3.264245729349969,4.55260153527128,70.00203564224513,0.8852675296511497,-17.044285508915696,-707831781.6228253
-25.0,PRIMARY,EARLY,150,3.6181618868643652,4.7236832101124016,71.33333333333334,0.8814923324746684,-16.388764174597235,-1676823.7156250104
-25.0,PRIMARY,LATE,149,3.2782693537432896,4.499483038676097,70.46979865771812,1.1730365227408617,-16.86358795094937,-1180025.2235118896
-25.0,SECONDARY,EARLY,35009,4.584125553489926,5.403322002118795,77.10303064926161,1.3579663727410602,-16.56492201851252,-225638954.18949112
-25.0,SECONDARY,LATE,54037,3.406977075825295,4.702568632108183,71.24932916335104,0.8977068078991085,-18.575151503547062,-694757517.2484745
-27.5,PRIMARY,EARLY,150,3.7571806547352935,4.762570168770676,72.66666666666667,0.9229336301859488,-18.14599771443193,-1514735.8859325545
-27.5,PRIMARY,LATE,149,3.3432637538808363,4.499483038676097,71.14093959731544,1.150291567875665,-18.24330170547436,-1232731.617528777
-27.5,SECONDARY,EARLY,35009,4.709552519951617,5.453331838315653,77.91139421291668,1.4017552213266709,-17.666297244773546,-202937159.56641105
-27.5,SECONDARY,LATE,54037,3.5312613190376534,4.82055123375355,72.20052926698374,0.9105942995165338,-20.083435683405217,-679511533.7115669
-30.0,PRIMARY,EARLY,150,4.360464645564167,4.911952360480846,75.33333333333333,1.1209576858601715,-19.366229702925978,-844560.751553785
-30.0,PRIMARY,LATE,149,3.364917707662586,4.499483038676097,71.81208053691275,1.0966296580136625,-20.328045764966415,-1370672.0306254611
-30.0,SECONDARY,EARLY,35009,4.856151407693066,5.507591007844792,78.6112142591905,1.4729475133117005,-18.07170070149193,-169884494.74003428
-30.0,SECONDARY,LATE,54037,3.6600119848457293,4.927121639941424,73.01293558117587,0.929610866501,-21.615540118464317,-655331857.2537496
-35.0,PRIMARY,EARLY,150,4.994027739370098,5.225478253883443,76.66666666666667,1.3948576411796476,-20.12098379428949,-105254.51614400563
-35.0,PRIMARY,LATE,149,4.0594370324368585,5.1627907747067665,73.8255033557047,1.337615432275615,-17.929093998927,-772520.2604649536
-35.0,SECONDARY,EARLY,35009,5.0717742123871075,5.562531871033457,79.34531120568997,1.6105909343905787,-15.248061047110374,-115132805.54248893
-35.0,SECONDARY,LATE,54037,3.9367186586464435,5.072720508024874,74.16955049318061,0.9972463890870049,-23.51972330666856,-567744552.6137099
-40.0,PRIMARY,EARLY,150,4.742311842509028,5.225478253883443,76.66666666666667,1.2356826514957315,-18.475238602585193,-473339.82944601943
-40.0,PRIMARY,LATE,149,4.49204672200253,5.19682233937109,75.16778523489933,1.5719923656044152,-15.051253478650045,-282211.08563821256
-40.0,SECONDARY,EARLY,35009,5.220919612534047,5.583544254561152,79.61381359079094,1.739768506211417,-11.835357065357918,-72969042.19602029
-40.0,SECONDARY,LATE,54037,4.243911196099116,5.1790730599512305,75.01341673297925,1.1005735011246676,-20.880979406062327,-445717266.3592209
