feature_id,name,family,BAD20_AUC,BAD20_bestQ,BAD20_worstQ,Q5_minus_Q1,Y20_BH_q,BAD_STATE_PASS
F02,ALL_A_EW_RET60,TREND,0.42370309050772625,0.0,0.0,-3.2011376502982163,0.0008772872500271145,False
F01,ALL_A_EW_RET20,TREND,0.3041074249605055,2.6785714285714284,0.0,-2.655688967414001,0.04732396972044421,False
F06,ALL_A_MA20_SLOPE,TREND,0.2412974683544304,4.310344827586207,0.0,-2.355596834067609,0.04732396972044421,False
F08,BREADTH_UP1D,BREADTH,0.48462145110410093,1.8867924528301887,0.9090909090909091,-1.0486725454493708,0.04732396972044421,False
F18,LIMIT_DOWN_SHARE,STRESS,0.33543638275499477,4.666666666666667,2.0408163265306123,1.6821465637011457,0.04732396972044421,False
F21,CROSS_SECTION_P10_RET,STRESS,0.4957939011566772,1.0309278350515463,1.7543859649122806,-0.9138127354166956,0.04815483007966892,False
F07,BREADTH_MA20,BREADTH,0.31519453207150366,0.847457627118644,0.0,-2.293935673804487,0.049508811889164894,False
F05,ALL_A_DISTANCE_MA20,TREND,0.36619348054679285,0.0,0.0,-2.2358001333997235,0.06925223384262591,False
F09,BREADTH_NEWLOW20,BREADTH,0.4416403785488959,0.0,1.7094017094017095,1.4057741689254684,0.07704283049992022,False
F14,DOWN_VOL_SHARE,VOLATILITY,0.448869610935857,1.7699115044247788,1.0416666666666665,0.9789155314638549,0.0875314544290291,False
F19,DROP5_SHARE,STRESS,0.448869610935857,1.0416666666666665,1.7699115044247788,0.9789155314638549,0.0875314544290291,False
F20,DROP7_SHARE,STRESS,0.41614090431125134,2.7522935779816518,1.8018018018018018,1.2649228277558109,0.0875314544290291,False
F10,BREADTH_BELOW_BB,BREADTH,0.4292849631966351,1.3333333333333335,1.4925373134328357,1.1858779768563927,0.10687440968076799,False
F25,MRH_20_REALIZED,MRH,0.7526371308016878,0.0,2.857142857142857,2.249044787832272,0.20948918087678683,False
F04,CSI1000_RET20,TREND,0.43746708794102157,0.0,0.0,-1.6963226445745132,0.2579476634620877,False
F22,N_OVERSOLD_SIGNALS,CROWDING,0.5026288117770767,1.2048192771084338,1.5625,0.6003835956641712,0.33589835405454416,False
F11,ALL_A_RV20,VOLATILITY,0.1349894847528917,0.0,4.424778761061947,2.53893927944614,0.3560114565114971,False
F27,MRH_WIN20_REALIZED,MRH,0.08808016877637131,21.62162162162162,0.0,-0.9364205241556336,0.36186335651115104,False
F23,OVERSOLD_SIGNAL_SHARE,CROWDING,0.5047318611987381,1.1627906976744187,1.6666666666666667,0.4615365067628785,0.36186335651115104,False
F13,CROSS_SECTION_RET_STD,VOLATILITY,0.5515247108307045,1.7699115044247788,0.0,0.829977015506338,0.36186335651115104,False
F26,MRH_60_REALIZED,MRH,0.7047732067510548,0.0,0.0,1.07900998865105,0.41547157047629646,False
F12,ALL_A_RV60,VOLATILITY,0.23319559228650139,0.0,0.0,2.720374767938698,0.44777991334014183,False
F03,CSI300_RET20,TREND,0.32767245918904686,0.0,0.0,0.27512949882311677,0.5477969444997622,False
F17,MEDIAN_STOCK_AMOUNT_RATIO20,LIQUIDITY,0.43914300736067297,0.0,0.0,-0.9756797511127209,0.5740964487934618,False
F24,N_OVERSOLD_Z60,CROWDING,0.4631242740998839,0.9345794392523363,1.9417475728155338,0.6960234774537595,0.7391571895816466,False
F16,MARKET_AMOUNT_Z60,LIQUIDITY,0.4656456953642384,0.0,0.8695652173913043,-0.19768979468727732,0.8382477546052326,False
F15,MARKET_AMOUNT_RATIO20,LIQUIDITY,0.5223802001053186,0.0,1.1111111111111112,-0.845014057148731,0.8868274317468328,False
