,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27
F01,1.0,0.4349558160921363,0.45285564121962346,0.9150347784146136,0.801882065959428,0.917390174449371,0.7998525171591927,0.18845575351599447,-0.468055028486227,-0.42527714829542224,-0.30570911975477605,-0.07879739927327993,-0.015429896786903763,-0.25598243671681686,0.3263773647730528,0.44696888526504164,0.377990645777583,-0.27786752101093587,-0.25598243671681686,-0.28169297480674477,0.21687043220203397,-0.2999961199840874,-0.29977781678318366,-0.22602143400530395,-0.3791921126689245,-0.5546761785904587,-0.33308972988270535
F02,0.4349558160921363,1.0,0.04520707978058828,0.38186772371886024,0.3235676817611151,0.47284219060011234,0.250056432468163,0.1096441008319948,-0.10998302798714539,-0.14609809493161183,-0.32583582557052854,-0.355329578204549,0.07220440488687618,-0.11145092065007825,0.0028241597314331147,0.181414561413288,-0.012476120352258476,-0.16585111304965683,-0.11145092065007825,-0.12243767373749175,0.10163272673753303,-0.038930778124480626,-0.03237074382744721,0.07290861279654627,-0.3399584944808838,-0.25199037798508966,0.11339903162335069
F03,0.45285564121962346,0.04520707978058828,1.0,0.5382900837244528,0.33726468564769135,0.38425286899306815,0.3361752265735899,0.08204939244888515,-0.18130661234656162,-0.18488668822802154,-0.3088055534472782,0.07221001881286294,-0.12050012690469254,-0.18061930898374343,0.25621477986728464,0.34694945735971267,0.16739736838024727,-0.09359712144754274,-0.18061930898374343,-0.16792266615268253,0.13934238817458774,-0.12665898514590815,-0.11186715533277478,-0.030661485013191096,-0.3552068066047982,-0.37191113865276004,-0.24399100394391207
F04,0.9150347784146136,0.38186772371886024,0.5382900837244528,1.0,0.7753606582395421,0.818481943287046,0.7374205492710585,0.17940826504555102,-0.4465970771931457,-0.4097031255210672,-0.31617969541241575,-0.1404206445102439,0.05218223024183709,-0.24945390431318756,0.46543654806178586,0.5771144406244264,0.44448152292159904,-0.24724871828700914,-0.24945390431318756,-0.2702651657390693,0.20547879651370046,-0.3124633416516588,-0.307667841732201,-0.2346074327538593,-0.3812283940360964,-0.5755650785830869,-0.35154304943256803
F05,0.801882065959428,0.3235676817611151,0.33726468564769135,0.7753606582395421,1.0,0.6849258839187594,0.9785822489952164,0.2731173937518134,-0.6900384191159856,-0.6804321079034681,-0.20367010154747864,-0.049501989784543926,-0.07376768839721574,-0.3713328092236427,0.4523209684909114,0.4447407167614312,0.5064481171322488,-0.4027724069954634,-0.3713328092236427,-0.39184848087123836,0.32757756057302956,-0.5515958772140893,-0.5533892650042613,-0.46630365327491696,-0.2603189027104734,-0.4120206861019079,-0.26438722839269413
F06,0.917390174449371,0.47284219060011234,0.38425286899306815,0.818481943287046,0.6849258839187594,1.0,0.6886598756676747,0.03857844196163417,-0.2955721364688503,-0.2658822585918174,-0.34944079382887244,-0.09906739788699079,0.0727617714077485,-0.09105815386601508,0.2668493727914072,0.4558617815319218,0.327544874834964,-0.14107159034769653,-0.09105815386601508,-0.12105907445337231,0.046022170943945645,-0.10680093279493372,-0.10686153756038988,-0.039748633179534365,-0.3947971130651956,-0.583169381821218,-0.29423907551169015
F07,0.7998525171591927,0.250056432468163,0.3361752265735899,0.7374205492710585,0.9785822489952164,0.6886598756676747,1.0,0.25325754368555964,-0.6865249420252781,-0.6682304314445554,-0.18579852713146097,-0.023748558623138162,-0.09887576125446483,-0.34203764490519717,0.4465237341004307,0.4125519709592694,0.520886259988135,-0.37113907192069195,-0.34203764490519717,-0.3611639265527522,0.302118577222495,-0.5389201230024376,-0.5422762926009548,-0.4612008217470164,-0.2460379642330388,-0.40563262218905577,-0.25962648895234486
F08,0.18845575351599447,0.1096441008319948,0.08204939244888515,0.17940826504555102,0.2731173937518134,0.03857844196163417,0.25325754368555964,1.0,-0.6279295832677037,-0.4759441888839963,-0.01681262599750724,-0.031519089702935786,-0.13179939191144116,-0.7454519107592303,0.04819603551372734,0.03287168929718328,0.001407485649575131,-0.5069524865663929,-0.7454519107592303,-0.6441075120298537,0.9044242961700192,-0.6151823720511346,-0.6172404413660554,-0.6238972700850667,-0.025177582570128584,-0.04018636273337269,0.001131654507577981
F09,-0.468055028486227,-0.10998302798714539,-0.18130661234656162,-0.4465970771931457,-0.6900384191159856,-0.2955721364688503,-0.6865249420252781,-0.6279295832677037,1.0,0.9251231763320633,-0.1550857775745332,-0.14793738652833363,0.23401063134354383,0.6562440041536233,-0.27012655376637623,-0.19306729308639448,-0.2921635504133729,0.5762682415799187,0.6562440041536233,0.6303362826005998,-0.6866344672916495,0.9083619931886178,0.9099647568971814,0.8251433521759997,0.0006598367330894181,0.11871861612469758,0.1150715488688813
F10,-0.42527714829542224,-0.14609809493161183,-0.18488668822802154,-0.4097031255210672,-0.6804321079034681,-0.2658822585918174,-0.6682304314445554,-0.4759441888839963,0.9251231763320633,1.0,-0.14471670182436092,-0.17189785044380831,0.28878499785938266,0.5963543321160342,-0.1751315521809249,-0.13974255714078734,-0.19394226627268032,0.546481378219058,0.5963543321160342,0.5906369601173243,-0.5732524254540939,0.9214558510166998,0.9212638670409671,0.802360659895877,-0.014815206193566952,0.07879480169117031,0.08109920989365435
