feature_id,K,n_days,topk_mean_pct,lift_vs_all_pp
F01,1,593,4.086962186946712,-0.28877247125825356
F01,3,593,4.2713424062095005,-0.1043922519954652
F01,5,534,4.463581780648099,0.08784712244313297
F01,10,428,4.530751887015953,0.155017228810987
F02,1,593,5.117477800272673,0.7417431420677074
F02,3,593,4.620485638145318,0.24475097994035266
F02,5,534,4.680371655976841,0.30463699777187525
F02,10,428,5.1144215380447635,0.7386868798397979
F03,1,593,4.478308672614045,0.10257401440907898
F03,3,593,4.80198211873781,0.4262474605328439
F03,5,534,5.037033980222918,0.6612993220179524
F03,10,428,5.28012123916367,0.904386580958704
F04,1,593,4.9890189612115625,0.6132843030065969
F04,3,593,4.923678226638924,0.5479435684339586
F04,5,534,5.1990067112516805,0.8232720530467148
F04,10,428,5.5263071176352785,1.1505724594303128
F05,1,593,4.415619644226689,0.039884986021723634
F05,3,593,4.903539880539251,0.5278052223342851
F05,5,534,5.221148439251945,0.8454137810469797
F05,10,428,5.305168386456543,0.9294337282515777
F06,1,592,5.075125807544362,0.6993911493393963
F06,3,592,5.295709133206648,0.9199744750016823
F06,5,533,5.429248384690592,1.053513726485626
F06,10,427,5.593504388068779,1.2177697298638135
F07,1,593,4.350086166547566,-0.025648491657399575
F07,3,593,5.207407715988864,0.831673057783898
F07,5,534,5.306761428718166,0.9310267705132
F07,10,428,5.71056508493933,1.3348304267343645
F08,1,593,4.469494066700451,0.09375940849548492
F08,3,593,4.717929546790176,0.34219488858520997
F08,5,534,5.182904131968629,0.807169473763663
F08,10,428,5.450206470340628,1.0744718121356627
F09,1,593,4.490113467060841,0.11437880885587504
F09,3,593,5.047278682255588,0.6715440240506227
F09,5,534,5.406304414957971,1.030569756753005
F09,10,428,5.619377172531607,1.2436425143266412
F10,1,593,4.394334198461437,0.01859954025647159
F10,3,593,4.42347451019448,0.04773985198951447
F10,5,534,4.4390844773433065,0.06334981913834081
F10,10,428,4.659246305811159,0.2835116476061934
F11,1,593,4.796435557534329,0.42070089932936305
F11,3,593,4.211187771354657,-0.16454688685030838
F11,5,534,4.483623226925608,0.10788856872064212
F11,10,428,4.85497989459804,0.4792452363930746
F12,1,592,4.834527029657323,0.45879237145235763
F12,3,592,4.472113554307422,0.09637889610245676
F12,5,534,4.599793436297014,0.224058778092048
F12,10,427,4.827104088720051,0.4513694305150855
F13,1,593,4.770530472632389,0.3947958144274235
F13,3,593,5.107572662014307,0.731838003809341
F13,5,534,5.119960471740083,0.7442258135351176
F13,10,428,5.30878630482384,0.9330516466188747
F14,1,593,5.302362874207545,0.9266282160025794
F14,3,593,4.9492973324534,0.5735626742484348
F14,5,534,4.793788607151629,0.41805394894666303
F14,10,428,4.916231356927455,0.5404966987224897
F15,1,593,3.970907982617419,-0.4048266755875467
F15,3,593,3.7605034940924322,-0.6152311641125334
F15,5,534,3.5810185758630393,-0.7947160823419264
F15,10,428,3.943198009004341,-0.4325366492006246
F16,1,593,3.313981120864036,-1.0617535373409295
F16,3,593,3.440381908962827,-0.9353527492421385
F16,5,534,3.4432534226671496,-0.932481235537816
F16,10,428,3.786105976726394,-0.5896286814785716
F17,1,592,4.367739875188198,-0.007994783016767926
F17,3,592,3.9195062495777235,-0.4562284086272421
F17,5,533,4.009321130563248,-0.36641352764171753
F17,10,427,4.012441284919875,-0.3632933732850905
