date,ts_code,action,level,shares,price
2021-11-16,601919.SH,ADD_POSITION,2,13600,14.615
2021-11-17,000625.SZ,INITIAL_ENTRY,1,10900,18.308
2021-11-30,000651.SZ,ADD_POSITION,2,5700,34.715
2021-11-30,601919.SH,TAKE_PROFIT_DYN,2,21300,16.613
2021-12-02,601012.SH,INITIAL_ENTRY,1,2300,83.383
2021-12-06,601012.SH,ADD_POSITION,2,2400,82.082
2021-12-09,000651.SZ,TAKE_PROFIT_DYN,2,11100,36.983
2021-12-17,002594.SZ,INITIAL_ENTRY,1,700,284.284
2021-12-21,000625.SZ,ADD_POSITION,2,12500,15.966
2021-12-21,002594.SZ,ADD_POSITION,2,200,270.77
2021-12-23,000625.SZ,ADD_POSITION,3,1300,16.146
