同时持仓数K,组合累计收益%,年化%,最大回撤%,Sharpe,交易笔数,胜率%,平均持仓天数,2020年%,2021年%,2022年%,2023年%,2024年%,2025年%,2026年%
1,226.3,20.3,-37.7,0.92,39,79.5,28.8,0.2,0.6,-0.3,0.5,0.3,0.2,0.0
2,278.0,23.1,-29.5,0.96,68,72.1,30.4,0.3,0.2,-0.0,0.4,0.4,0.2,0.0
3,354.9,26.7,-29.5,1.07,103,73.8,28.8,0.4,0.2,-0.0,0.5,0.4,0.2,0.1
4,259.5,22.2,-29.5,0.9,120,67.5,30.2,0.4,0.1,-0.1,0.3,0.4,0.3,0.1
5,247.1,21.5,-32.8,0.87,129,68.2,29.9,0.4,0.1,-0.1,0.3,0.3,0.3,0.1
8,238.6,21.0,-33.4,0.86,132,67.4,29.2,0.4,0.1,-0.1,0.3,0.3,0.3,0.1
