signal_date,r_mean,r_med,win,loss,mae,hold,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27
2020-02-06,12.544306307314594,12.571344468011093,83.33333333333334,16.666666666666664,-7.425305484058189,33.833333333333336,,,,,-5.6387656549591885,,0.20567375886524822,0.9231205673758865,0.005673758865248227,0.0070921985815602835,2.530229292954144,,0.028497604510832424,0.000851063829787234,,,0.9842779099859841,0.00028368794326241134,0.000851063829787234,0.0005673758865248227,0.0023631046421727767,24,0.006808510638297872,,,,
2020-02-07,8.251701621389001,8.251701621389001,50.0,50.0,-10.317276753753445,25.0,-4.623762173004109,,-6.077959158823365,-1.6376543961614365,-4.265373352349822,,0.2348441926345609,0.6090651558073654,0.012747875354107648,0.0005665722379603399,2.5071388774398358,,0.03335667088942705,0.02237960339943343,1.2960478489399776,,0.9396593856965818,0.0008498583569405099,0.02237960339943343,0.006515580736543909,-0.02051903836579989,2,0.0005665722379603399,,,,
2020-02-13,-2.5799196512874154,-2.5799196512874154,0.0,100.0,-16.412701222827796,54.0,-4.148661976400414,,-3.705900896944425,-1.1250219186774602,-1.7905804708373108,-1.101620153019356,0.27540333993773,0.21907727144070197,0.006510048117746957,0.0002830455703368242,2.531609275099198,,0.02581433058590023,0.022360600056609115,1.1743513165083204,,0.9038128842650142,0.0008491367110104727,0.022360600056609115,0.006793093688083782,-0.031861877494360605,1,0.0002830455703368242,,17.1986557069062,17.1986557069062,100.0
2020-02-20,12.763962833414302,12.763962833414302,100.0,0.0,-3.686057532211362,8.0,0.49361780669161526,,-0.5298705864237307,3.7350017366988952,5.413338294538073,-0.5217162548044718,0.8367231638418079,0.853954802259887,0.0002824858757062147,0.0002824858757062147,2.686666304531201,,0.02493291590940573,0.005084745762711864,1.3466671901247207,,1.1862228910437924,0.0002824858757062147,0.005084745762711864,0.0014124293785310734,-0.004112118685880482,1,0.0002824858757062147,,17.1986557069062,17.1986557069062,100.0
2020-02-24,-16.616353330477352,-16.616353330477352,0.0,100.0,-36.448701424296736,48.0,3.5806698395628,,-0.529843053412471,8.521300964768308,7.586851966561459,0.15037729232234565,0.8735534857465425,0.5766299745977985,0.0019757267852102737,0.0002822466836014677,2.7032350102108667,,0.032180197062338003,0.009878633926051369,1.4502193361017257,,1.271251252617921,0.000846740050804403,0.009878633926051369,0.003386960203217612,-0.017714486835742258,1,0.0002822466836014677,,17.1986557069062,17.1986557069062,100.0
2020-02-25,-7.644489962177108,-7.644489962177108,0.0,100.0,-24.334924334924334,34.0,2.4039764285403997,,-1.4806166059666337,7.595075006547658,7.24421425760573,0.3444840460643306,0.7880925507900677,0.3010722347629797,0.004232505643340858,0.000564334085778781,2.6988277411620007,,0.034324396163300075,0.007900677200902935,1.6250465905878604,,1.407508052510875,0.0002821670428893905,0.007900677200902935,0.001693002257336343,-0.030113571908514214,1,0.0002821670428893905,,24.48256922886131,24.48256922886131,100.0
2020-02-26,10.566376580134127,10.566376580134127,100.0,0.0,-6.890604948315782,36.0,2.0732169328121497,,-1.003651038807618,5.421619124836119,5.548025463547779,0.5486746343618121,0.7974612129760226,0.35458392101551484,0.00930888575458392,0.0011283497884344146,2.707921750276963,,0.0393589637801814,0.17799717912552893,1.4431830104216254,,1.272503036956514,0.025105782792665725,0.17799717912552893,0.09111424541607899,-0.0667005067571133,2,0.0005641748942172073,,24.48256922886131,24.48256922886131,100.0
2020-02-27,-3.015784847062639,-4.5579052300490766,40.0,60.0,-18.568462744918556,45.6,2.2937462901439387,,-1.1388186022753266,5.279118289840223,5.7014453337916216,0.6419120254882671,0.8299492385786802,0.4971799210377891,0.007614213197969543,0.001692047377326565,2.70797198769722,,0.031447340177969026,0.04117315284827975,1.1083347609931853,,0.9648699965489158,0.006204173716864072,0.04117315284827975,0.023970671178793007,-0.028360462356312233,5,0.0014100394811054709,,22.776224425063916,22.776224425063916,100.0
2020-02-28,3.1810297536308494,2.358469898198538,69.02654867256636,30.973451327433626,-12.675100858819706,32.85840707964602,0.23966910539139352,,-1.5947570935377353,3.0173337350640983,-0.0006005380179696651,0.5513858812849826,0.3595600676818951,0.05978567399887197,0.06739988719684151,0.03807106598984772,2.8730718310278034,,0.03492199751436738,0.5877044557247603,1.1718100098579545,,1.1503003121916746,0.06852791878172589,0.5877044557247603,0.3392554991539763,-0.09610900296887603,113,0.03186689227298364,,20.394101950520813,20.394101950520813,100.0
2020-03-02,-3.726821253868625,-1.614390692498972,20.0,80.0,-27.04690832316884,50.2,14.785461573078562,,10.338161877895914,17.56192652752544,3.503597662318292,1.0379340743317034,0.6688293370944993,0.9667136812411847,0.004513399153737658,0.002538787023977433,2.09337480227654,,0.02608756885759245,0.001692524682651622,1.052463942303245,,0.9010339949318781,0.0,0.001692524682651622,0.0011283497884344146,0.016638248197410912,5,0.0014104372355430183,,20.394101950520813,20.394101950520813,100.0
