b,random_k3_mean_pp
0,4.705615882507685
1,4.605458201334089
2,4.290734502335941
3,4.267191515919373
4,4.1963760000017345
5,4.325591003036237
6,4.646492255468612
7,4.403214961087332
8,4.563231703437798
9,4.693029292041445
10,4.482377498523817
11,4.819900216330487
12,4.585694487402992
13,4.464996192283808
14,4.159094814862926
15,4.264327163519515
16,4.2279159110115785
17,4.333537263139265
18,4.365971046479276
19,4.193773450590495
20,4.522529566723892
21,4.189467114707775
22,4.486663216754038
23,4.057806132195295
24,4.489735797084621
25,4.295360199057208
26,4.275659254231689
27,4.793493868269694
28,4.77026253090459
29,4.590711530842964
30,4.1237809174241455
31,4.28100634978205
32,4.240914739270674
33,4.013054066045332
34,4.603497645293348
35,4.121459417473337
36,4.331391050916907
37,4.640370908212718
38,4.192556914508127
39,4.413924266788671
40,4.431861161462993
41,4.383925280513357
42,4.471435399773882
43,4.5903032933389705
44,4.5505831600385065
45,4.85729648092291
46,4.896216554269002
47,4.138290686321777
48,4.299366947939505
49,4.167576783273095
50,4.5362865483154255
51,4.48637376646169
52,4.375765383980439
53,4.226713640275496
54,3.9852887625553235
55,4.403247709119602
56,4.16807566453034
57,4.7228146826492665
58,4.277372676054143
59,4.0687731807496
60,4.16831865693195
61,4.064313661841169
62,4.131660533332832
63,4.307849214614497
64,4.261979658047852
65,4.134303799929037
66,4.62200650234257
67,3.9535776300594008
68,4.245520328417742
69,4.585428851195363
70,4.5319720992920125
71,4.378418113198912
72,4.2105477357039005
73,4.454613919043855
74,4.0951523811946755
75,4.653108227536321
76,3.9481037290001706
77,4.634820030246729
78,4.542589624153138
79,4.174094614475079
80,4.501221283914514
81,3.9171326936969755
82,4.442038392513513
83,4.301242147078986
84,4.648673760693173
85,4.070986056027723
86,4.425108337275776
87,4.331968566640357
88,4.617247424258647
89,4.642031236657321
90,4.440879883103081
91,3.933006906454503
92,3.9858530742438503
93,4.217754314304129
94,3.90248679922977
95,4.440087390172755
96,4.561168653199148
97,4.280565952723873
98,4.63179204336864
99,4.721098414587083
100,4.6403627244206955
101,4.272064378877548
102,4.40688790894256
103,4.242814517018106
104,4.898397124325626
105,4.320964267520355
106,4.383565676339635
107,4.565389035377544
108,4.351664769971586
109,4.730277716520866
110,4.313025368376188
111,4.311827060093379
112,4.664080970760891
113,4.188990133050507
114,4.691458035906329
115,4.16791905687332
116,4.581069479676805
117,4.454942695467722
118,4.627446765766591
119,4.593776955242854
120,4.550707212955538
121,4.60842554383625
122,4.340896859260284
123,4.789602204078351
124,4.106555598690785
125,4.365436012306253
126,4.1672028446001175
127,4.502870031964521
128,4.498967676502747
129,4.409857301256414
130,4.566634752114244
131,4.4917188029159725
132,4.548361049677404
133,4.4281288409834145
134,4.20097430569893
135,4.392779318584534
136,4.371867663945874
137,4.704386089633983
138,4.643676675200796
139,4.579540100537567
140,4.416239352793737
141,4.790515706729579
142,4.088238488269037
143,5.02072396966542
144,4.177030294086122
145,4.1578406906813825
146,4.3136392158587675
147,4.262935157540814
148,4.604454911660867
149,4.734902035115873
150,4.412154541465913
151,4.3781628782912
152,4.220473384383635
153,4.498799113144498
154,4.163688624194919
155,4.31633594835736
156,4.6172973981504555
157,4.8579878569498005
158,4.376547878520636
159,4.352836196110803
160,4.331365689482356
161,4.719569589247876
162,4.024135338087049
163,4.185757249302321
164,4.200593415197984
165,4.3457754551899015
166,4.079493227044152
167,4.530467430139208
168,4.488889231936211
169,4.443541705217765
170,4.7196161089093644
171,4.147093682574067
172,4.033351825482661
173,4.205082717356935
174,4.235503522736948
175,4.7110365862127725
176,4.513046624858741
177,4.962687253767661
178,4.686656925276502
179,4.283316624356575
180,4.35626975480499
181,4.2181207458256385
182,4.4278822821484525
183,4.087561171580451
184,4.316555459175594
185,4.4150697694593335
186,4.334788496871488
187,3.912675349957612
188,4.263466386479848
189,4.166129053657141
190,4.5105422537033695
191,4.454608726123229
192,4.473276211876051
193,4.385888826571282
194,4.305120265234562
195,4.110758544892063
196,4.615180718806027
197,4.2674456885763785
198,4.677300531194509
199,4.698204785144025
200,4.433279122739164
201,4.234519869140835
202,4.076819989792115
203,4.259229673320644
204,4.563659280079662
205,3.858889043567101
206,4.003460426825373
207,4.151918124832984
208,4.60345729392878
209,4.135301499389131
210,4.263350395921825
211,4.160787331350984
212,4.748237916624927
213,4.835562894807101
214,4.242839285200461
215,4.245919898962584
216,4.4148223251462095
217,4.0891739625253924
218,4.66351323759848
219,4.216206441471799
220,4.16176617185529
221,4.493332643389433
222,4.571546800326069
223,4.608156881513584
224,4.236125793083586
225,4.7358482100070365
226,4.345088461648836
227,4.160639537482243
228,3.970218191112105
229,4.33921883926038
230,4.62247266586913
231,4.450819829990392
232,4.061315209658278
233,4.337166169355753
234,4.450916131363448
235,4.394010506642894
236,4.145729616811376
237,4.325640398079766
238,4.220228340762085
239,4.410205691574716
240,4.318723727284379
241,4.370819794612297
242,4.459727605571622
243,4.4515795730033645
244,4.600927167982295
245,4.718625166581863
246,4.473330740241259
247,4.715003714022807
248,4.4943549139541075
249,4.2483430746917765
250,4.537937169486105
251,3.8626734483398244
252,4.3239954425760185
253,4.511022626063694
254,4.069256000206326
255,4.5880156513158425
256,4.282875944041381
257,4.50711939568067
258,3.91400173894105
259,4.479476523759907
260,4.575142180521748
261,4.624886512884989
262,4.664533761752329
263,4.265673352051702
264,4.224626092576331
265,4.430268568773648
266,4.433077835441461
267,4.0830442339209565
268,4.170605834474949
269,4.588162377497144
270,4.526737636966937
271,4.454677127850779
272,4.389523653499384
273,4.279520476780402
274,4.457566583580687
275,4.935994095645466
276,4.433097678089254
277,4.63086599223511
278,4.069156006116459
279,4.614135350597397
280,4.349802904103642
281,4.489117137255792
282,4.557444373614964
283,4.846579613200088
284,4.147307929392553
285,4.311489311978024
286,4.285686864140481
287,4.265905942201876
288,4.3535985293223085
289,4.6210717472047484
290,3.9708675738727606
291,4.64323080898197
292,4.466794624876175
293,4.4260655477715005
294,3.957665734913762
295,4.147867445565752
296,4.493589386038795
297,4.229112933859733
298,4.305999720560239
299,4.352873437138803
300,4.302596445441778
301,4.460380883764563
302,4.369191850790732
303,3.99870524649508
304,4.022698894732406
305,4.381115833225867
306,4.1717108106652985
307,4.351482789826639
308,4.698989797920012
309,4.534861082879405
310,4.451404437156436
311,4.3156350497523706
312,4.187962370459431
313,4.278812301182968
314,4.183616076355777
315,4.707620843150204
316,4.525026741087087
317,4.233426443158473
318,4.406611668937367
319,4.404476435004151
320,4.294580562188941
321,4.315513552071863
322,3.8264087416616284
323,4.771060533132267
324,4.434956457708536
325,4.222545414231994
326,4.226125748912767
327,4.249838816284956
328,4.443035654707227
329,4.34015575447885
330,4.420865098569294
331,4.3959833287113605
332,4.430843359387327
333,4.400851930461271
334,4.474455734145126
335,4.27310355297289
336,4.249369447056845
337,4.363186017230025
338,4.308218231066315
339,4.41355616255769
340,4.531932224840241
341,4.682524213769322
342,4.186206796267534
343,4.851608693271365
344,4.186553721294505
345,4.3580336139285185
346,4.167687766309786
347,4.622544473029278
348,4.224499609247256
349,4.610961496107039
350,3.987233442167813
351,4.226605081457034
352,4.625989750081291
353,4.428531952234151
354,4.087268169246164
355,4.76538021502842
356,4.667430366951207
357,4.130542761234649
358,4.3598935607607086
359,4.059193159808344
360,4.5542973924395636
361,4.572478483126497
362,4.225784391329064
363,4.522361312556643
364,4.608380130061019
365,4.453141393880105
366,4.215214858228615
