ts_code,entry_date,side,pnl,ret_pct,exit_type,levels,pnl_b0,pnl_b1,pnl_diff,ret_b0,ret_b1,levels_b0,levels_b1,exit_b0,exit_b1
000661.SZ,2021-05-25,B0_ONLY,18776.778029100038,3.64,TAKE_PROFIT_DYN,3.0,,,,,,,,,
000858.SZ,2021-07-09,B0_ONLY,-54012.840126839816,-5.59,TAKE_PROFIT_DYN,5.0,,,,,,,,,
000858.SZ,2022-03-04,B0_ONLY,-16906.98683321994,-8.53,TAKE_PROFIT_DYN,1.0,,,,,,,,,
002230.SZ,2023-08-17,B0_ONLY,-1200.787438989997,-6.94,TAKE_PROFIT_DYN,1.0,,,,,,,,,
002241.SZ,2021-07-23,B0_ONLY,20518.01914968004,10.27,TAKE_PROFIT_DYN,1.0,,,,,,,,,
002340.SZ,2021-06-08,B0_ONLY,31636.125431640074,5.29,TAKE_PROFIT_DYN,3.0,,,,,,,,,
002352.SZ,2021-04-13,B0_ONLY,6983.716473360022,1.84,TAKE_PROFIT_DYN,2.0,,,,,,,,,
002466.SZ,2021-09-23,B0_ONLY,20545.878086640034,5.28,TAKE_PROFIT_DYN,2.0,,,,,,,,,
002594.SZ,2021-05-06,B0_ONLY,131567.65075440012,34.99,TAKE_PROFIT_DYN,2.0,,,,,,,,,
300059.SZ,2021-02-26,B0_ONLY,-10814.738126399956,-5.45,TAKE_PROFIT_DYN,1.0,,,,,,,,,
300274.SZ,2022-12-07,B0_ONLY,48201.52225410007,12.35,TAKE_PROFIT_DYN,2.0,,,,,,,,,
300418.SZ,2023-06-27,B0_ONLY,-1466.4528931899968,-10.97,TAKE_PROFIT_DYN,1.0,,,,,,,,,
300750.SZ,2021-08-17,B0_ONLY,19148.41928376007,9.86,TAKE_PROFIT_DYN,1.0,,,,,,,,,
300750.SZ,2021-12-21,B0_ONLY,-97943.60455811996,-18.13,TAKE_PROFIT_DYN,3.0,,,,,,,,,
300750.SZ,2023-10-17,B0_ONLY,-9141.909842339926,-1.63,TAKE_PROFIT_DYN,3.0,,,,,,,,,
600030.SH,2021-11-17,B0_ONLY,15781.336284420046,7.94,TAKE_PROFIT_DYN,1.0,,,,,,,,,
