validation_id,feature_id,usable_days,random_K3_mean,random_K3_lo,random_K3_hi,K3_ranked_mean_pp,random_pctile
V01,F04,409,3.524735770111797,3.01393425551206,4.030669915095939,4.248632892656094,99.74
V02,F06,409,3.5196105229384442,3.017679339712921,4.019621834364919,4.509909180470824,100.0
V03,F07,409,3.5255870164174894,3.031707476818843,4.038554175113187,4.401605524379498,99.98
V04,F09,409,3.530476799608352,3.015848345251329,4.0240578532567435,4.95183924284055,100.0
V05,F13,409,3.5264600580248255,3.026716796147531,4.020797843290331,4.218793146441185,99.78
