threshold_pct,n_crossed,win_rate,mean_final_return,median_final_return,mean_recovery_days
-2,271,73.43173431734317,4.432066370123374,4.499483038676097,4.867924528301887
-3,245,71.0204081632653,3.3658922554299147,3.737034722718007,6.552631578947368
-5,214,67.7570093457944,2.3304181466779443,3.1387089305507887,7.655172413793103
-7.5,182,62.637362637362635,1.4652031313435896,2.2355898632004676,9.333333333333334
-10,155,58.70967741935483,0.4863246815610173,1.837573601773871,10.642857142857142
-12.5,125,53.6,-0.5197367045304697,1.1120117479146117,10.222222222222221
-15,113,51.32743362831859,-1.6367384280279058,0.41755742217796255,11.5
-20,80,35.0,-4.240618414308797,-4.726659562267699,12.5
-25,51,29.411764705882355,-6.556631928317327,-6.645958234266682,14.0
-30,32,21.875,-9.486508112078553,-16.71565134188547,
-40,12,0.0,-23.462546255167364,-22.209367731851557,
-50,4,0.0,-22.18064568699713,-22.209367731851557,
"(0,-5]",85,96.47058823529412,11.563033534848882,8.552942953591648,0.8979591836734694
"(-5,-10]",59,91.52542372881356,7.175070470290211,6.144996620188443,4.866666666666666
"(-10,-15]",42,78.57142857142857,6.198375428788358,5.4297421751737165,10.0
"(-15,-20]",33,90.9090909090909,4.675697902350013,3.543179209088439,11.0
"(-20,-30]",48,43.75,-0.7433586157956263,-1.4847010373106864,12.5
<=-30,32,21.875,-9.486508112078553,-16.71565134188547,
