method,seg_idx,start_i,end_i,start_date,end_date,n_signal_days,n_episodes,mean_daily_R,median_daily_R,win_day_pct,episode_mean_ret,episode_win_pct,calendar_days
PELT,0,0,3,2020-02-06,2020-02-20,4,28,7.74501277770762,10.398003964351798,75.0,11.70538563573054,78.57142857142857,14
PELT,1,4,5,2020-02-24,2020-02-25,2,2,-12.13042164632723,-12.13042164632723,0.0,-12.13042164632723,0.0,1
PELT,2,6,105,2020-02-26,2020-08-17,100,3844,4.777142981676938,5.911608320561147,83.0,5.9886795771060415,83.7669094693028,173
PELT,3,106,106,2020-08-18,2020-08-18,1,1,41.47703495028481,41.47703495028481,100.0,41.47703495028481,100.0,0
PELT,4,107,128,2020-08-19,2020-09-17,22,1620,1.4502939571660203,1.6817168070650632,77.27272727272727,3.0508958948077636,70.55555555555556,29
PELT,5,129,129,2020-09-18,2020-09-18,1,1,-36.15241886980152,-36.15241886980152,0.0,-36.15241886980152,0.0,0
PELT,6,130,423,2020-09-21,2021-12-10,294,13426,4.292463598523936,4.47630979572428,88.43537414965986,5.348555611617292,79.39073439594816,445
PELT,7,424,476,2021-12-13,2022-03-07,53,3565,-1.5606675195834927,-0.706748619490468,41.509433962264154,1.2287436836075127,63.28190743338008,84
PELT,8,477,674,2022-03-08,2023-01-13,198,12656,5.582911557938877,5.584278705989242,93.93939393939394,6.91328012249207,84.92414664981037,311
PELT,9,675,906,2023-01-16,2024-01-04,232,15406,2.421281232684791,2.6209114999038303,78.44827586206897,3.152050135744319,74.54238608334414,353
PELT,10,907,926,2024-01-05,2024-02-01,20,2306,9.844918334671465,8.978688530098811,95.0,10.510643629674957,85.16912402428447,27
PELT,11,927,931,2024-02-02,2024-02-08,5,192,29.12192943661543,31.50945378456071,100.0,25.20757135607468,95.83333333333334,6
PELT,12,932,968,2024-03-05,2024-05-08,37,2876,1.9207613665392003,2.3503307172468517,70.27027027027027,6.067646881910746,69.12378303198888,64
PELT,13,969,972,2024-05-09,2024-05-14,4,14,-17.462366963802125,-17.944246349476327,0.0,-8.689608607926042,21.428571428571427,5
PELT,14,973,1005,2024-05-15,2024-07-01,33,2538,-1.151243814092468,-1.2374472971866066,36.36363636363637,0.543442926693198,54.21591804570528,47
PELT,15,1006,1050,2024-07-02,2024-09-02,45,2189,4.551254572759892,4.616557747441077,93.33333333333333,6.018865343002367,89.08177249885793,62
PELT,16,1051,1067,2024-09-03,2024-10-11,17,637,14.75034009487233,12.836510178532729,100.0,12.893703720480186,99.68602825745683,38
PELT,17,1068,1333,2024-10-23,2025-12-19,266,17399,5.054949665832931,5.0720506401284835,92.4812030075188,7.5888299694941574,85.9762055290534,422
PELT,18,1334,1469,2025-12-22,2026-07-17,136,9627,1.3890838312356815,1.8125029798882974,60.29411764705882,2.3132790992731187,62.023475641425165,207
PELT,19,1470,1478,2026-07-20,2026-07-30,9,371,13.514687881287905,14.682106198321963,100.0,15.24563827150288,87.6010781671159,10
PELT,20,1479,1479,2026-07-31,2026-07-31,1,2,63.566696472007344,63.566696472007344,100.0,63.566696472007344,100.0,0
PELT,21,1480,1493,2026-08-03,2026-08-24,14,346,2.8459140615300447,1.4155868040874426,78.57142857142857,1.5781576295884485,75.43352601156069,21
