date,action,shares,price,nav,premium_pct,amount,fee,cash_after
2020-01-02,BUY_ETF,467300,2.129,2.1222,0.32,994881.7,248.72,4869.58
2020-04-13,SELL_ETF,108800,1.831,1.8225,0.47,199212.8,49.8,204032.58
2020-04-30,BUY_ETF,120000,1.971,1.9286,2.2,236520.0,59.13,4957.79
2020-05-11,SELL_ETF,101400,1.962,1.9469,0.78,198946.8,49.74,203854.85
2020-06-02,BUY_ETF,104300,2.036,2.0597,-1.15,212354.8,53.09,4990.46
2020-06-15,SELL_ETF,101500,1.961,2.0441,-4.07,199041.5,49.76,203982.2
2020-07-06,BUY_ETF,113300,2.086,2.1117,-1.22,236343.8,59.09,4947.86
2020-09-01,SELL_ETF,86700,2.295,2.2712,1.05,198976.5,49.74,203874.61
2020-09-02,SELL_ETF,85600,2.334,2.3018,1.4,199790.4,49.95,204005.18
2020-09-03,SELL_ETF,81000,2.465,2.2196,11.06,199665.0,49.92,203918.36
2020-09-04,SELL_ETF,86200,2.317,2.2022,5.21,199725.4,49.93,203981.94
2020-09-07,SELL_ETF,90100,2.21,2.2022,0.35,199121.0,49.78,204019.42
2020-10-28,BUY_ETF,455100,2.126,2.0669,2.86,967542.6,241.89,4797.75
2020-11-11,SELL_ETF,90100,2.21,2.2213,-0.51,199121.0,49.78,203868.97
2020-12-07,BUY_ETF,95500,2.262,2.2728,-0.48,216021.0,54.01,4974.99
2020-12-09,SELL_ETF,87400,2.277,2.2594,0.78,199009.8,49.75,203935.04
2020-12-10,SELL_ETF,85700,2.264,2.2619,0.09,194024.8,48.51,203769.87
2020-12-15,SELL_ETF,86600,2.252,2.2769,-1.09,195023.2,48.76,203920.67
2021-01-05,BUY_ETF,274400,2.245,2.2751,-1.32,616028.0,154.01,4925.14
2021-01-28,SELL_ETF,87400,2.277,2.3152,-1.65,199009.8,49.75,203885.18
2021-01-29,SELL_ETF,85200,2.281,2.2659,0.67,194341.2,48.59,203919.31
2021-02-01,SELL_ETF,87300,2.267,2.2991,-1.4,197909.1,49.48,204027.53
2021-02-02,SELL_ETF,86000,2.305,2.3351,-1.29,198230.0,49.56,203981.44
2021-02-03,SELL_ETF,83900,2.331,2.335,-0.17,195570.9,48.89,204002.63
2021-02-25,BUY_ETF,455400,2.39,2.3311,2.53,1088406.0,272.1,4867.15
2021-02-26,SELL_ETF,85600,2.326,2.3269,-0.04,199105.6,49.78,203922.97
2021-04-30,SELL_ETF,76500,2.58,2.5513,1.12,197370.0,49.34,203922.34
2021-05-06,SELL_ETF,74100,2.566,2.5725,-0.25,190140.6,47.54,203681.93
2021-05-07,SELL_ETF,75700,2.579,2.5832,-0.16,195230.3,48.81,203812.72
2021-05-10,SELL_ETF,72400,2.585,2.5463,1.52,187154.0,46.79,203736.28
2021-05-26,BUY_ETF,442000,2.54,2.5391,0.04,1122680.0,280.67,4760.16
2021-05-27,SELL_ETF,79000,2.522,2.5396,-0.69,199238.0,49.81,203948.35
