bucket,n_days,n_episodes,daily_win_rate,daily_disp,daily_p10,daily_p50,daily_p90,episode_mae,episode_hold,episode_win
Top10,150,11051,94.03188023777105,10.353306283385322,4.976136467010689,13.39964223372515,23.493262400632226,-9.510452980857663,25.025789521310287,92.28124151660482
75-90,224,17014,88.57302156031065,8.030964448477704,0.04900026633305563,7.511851729115553,16.369492128504593,-9.337705836346977,25.9863053955566,88.55060538380157
Bottom10,150,3114,31.5519047240691,12.219598636806928,-17.634365833592035,-4.794637319925417,3.623449740146663,-23.1503864226489,45.00610147719974,39.24213230571612
25-75,746,48195,76.82713260723573,8.099918701077359,-3.9704864396917463,4.241489881583756,12.000857252460067,-11.905428191123626,31.527067123145553,76.9913891482519
10-25,224,9672,54.95004612123736,10.028357437944265,-10.698768762298686,1.040611849990999,8.780547161479612,-18.111892467403774,40.87830851943755,57.475186104218366
