feature_id,validation_id,raw_p,bh_q,bh_family
F04,V01,0.0007634013492499037,0.0007634013492499037,5
F06,V02,0.0007001008519857965,0.0007634013492499037,5
F07,V03,7.064858854310962e-05,0.00011774764757184937,5
F09,V04,3.2843072705901477e-09,1.642153635295074e-08,5
F13,V05,1.0221486448358519e-06,2.5553716120896297e-06,5
