group,n,ret_mean,ret_median,MAE_intraday_p50,MAE_intraday_p75,MAE_intraday_p90,MAE_intraday_p95,MAE_intraday_p99,MAE_close_p50,MFE_intraday_p50,MFE_intraday_p75,MFE_intraday_p90,hold_p50,hold_mean,underwater_p50,ttbe_p50,recov_p50,giveback_p50
WINNER,227,9.367777832611408,7.212021342950852,-7.786761434433009,-3.222928084806526,-1.5004930815377269,-0.7232189379964471,-0.1544125216258459,-6.016910065493041,8.468310715501737,13.560509379978624,21.27178802057433,23.0,27.60352422907489,7.0,0.0,1.0,1.2417200781378934
LOSER,72,-8.957197696549361,-5.913427569445121,-25.052719717067085,-18.744283960332595,-9.841208249656258,-7.113029411825386,-3.364509080419761,-24.207211339134844,3.4762924881637014,8.251491031239322,12.624077236463984,51.5,57.18055555555556,37.0,0.0,2.0,12.230484284266382
