round,ts_code,name,entry_date,exit_date,exit_type,levels_used,shares,pnl,return_pct,hold_days,sig_date,capital_used,MAE_intraday,blocked_future_opportunities,blocked_days,top10_oversold_days,slot_days
0,300750.SZ,,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,3000,-17564.68204523984,-4.33,31,2020-02-28,2771257.48,-24.41996044301519,12,20,7,31
1,601318.SH,,2020-03-02,2020-04-17,TAKE_PROFIT_DYN,3,7900,-17726.73409781989,-3.03,33,2020-02-28,2020392.38,-15.814522556095568,12,20,7,33
2,000725.SZ,,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,59000,27272.019758470036,13.06,35,2020-03-16,208726.52,-20.127605091805567,12,20,5,35
3,002714.SZ,,2020-05-12,2020-06-18,TAKE_PROFIT_DYN,1,1700,-73422.30253895996,-37.35,27,2020-05-11,196546.35,-43.62347609100854,1,17,2,27
4,000063.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,5300,16543.11587328001,8.36,17,2020-05-25,197940.74,-5.214056916013499,1,17,1,17
5,002415.SZ,,2020-05-26,2020-06-18,TAKE_PROFIT_DYN,1,7100,14247.334767060034,7.16,17,2020-05-25,795281.49,-2.5965109506701833,1,17,1,17
6,600030.SH,,2020-09-08,2020-10-12,TAKE_PROFIT_DYN,1,6600,6613.851740760059,3.34,18,2020-09-07,396519.12,-2.3347270425734368,7,17,7,18
7,002456.SZ,,2020-09-02,2020-10-28,TAKE_PROFIT_DYN,4,37000,-11994.304891459877,-1.99,34,2020-09-01,602127.53,-16.877465492668776,9,28,12,34
8,300136.SZ,,2020-10-13,2020-11-09,TAKE_PROFIT_DYN,2,3900,3092.143930660037,1.53,19,2020-10-12,202384.18,-11.26407311378409,2,11,2,19
9,600745.SH,,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,1,1200,-9391.319683919952,-6.35,57,2020-09-08,147747.6,-24.969339603485945,12,43,14,57
10,601012.SH,,2020-11-16,2020-12-09,TAKE_PROFIT_DYN,2,5900,44963.39024784003,11.57,17,2020-11-13,1542606.07,-7.125413198287678,3,15,3,17
11,300122.SZ,,2020-11-12,2020-12-21,TAKE_PROFIT_DYN,2,3000,82452.34540584008,21.59,27,2020-11-11,381727.35,-14.25593473223118,4,19,8,27
12,002475.SZ,,2020-12-15,2020-12-23,TAKE_PROFIT_DYN,1,4000,16941.61435680004,8.52,6,2020-12-14,983131.15,,1,4,2,6
