quantile,n,pnl_sum,pct_of_total_pnl,mean_ret,mean_mae
bottom_1pct,3,-648337.4014069797,-22.423198006880984,-31.82411238791059,-43.57054081492305
bottom_5pct,15,-2725161.376134959,-94.25159339129345,-22.8142177558176,-44.3372383598062
bottom_10pct,30,-4031446.9791592765,-139.43038558589237,-17.073270893842178,-36.369225459199974
