feature_id,name,quintile,n_days,mean_Y20,median_Y20,bad_rate
F02,ALL_A_EW_RET60,1,143,7.275272584201504,7.146740394565454,0.0
F02,ALL_A_EW_RET60,2,93,5.222801495591088,5.551956825195292,0.0
F02,ALL_A_EW_RET60,3,98,4.670971931932447,4.317616885830727,10.204081632653061
F02,ALL_A_EW_RET60,4,123,5.311931632317325,5.145107972580753,1.6260162601626018
F02,ALL_A_EW_RET60,5,59,4.074134933903288,4.077512287856648,0.0
F01,ALL_A_EW_RET20,1,139,7.4905799992945665,7.555434990631455,0.0
F01,ALL_A_EW_RET20,2,97,5.098037943450445,4.533482995592853,0.0
F01,ALL_A_EW_RET20,3,90,4.658682189330938,4.634678365058504,2.2222222222222223
F01,ALL_A_EW_RET20,4,107,4.549117278675508,4.78668358022089,6.5420560747663545
F01,ALL_A_EW_RET20,5,112,4.834891031880566,5.427832859115714,2.6785714285714284
F06,ALL_A_MA20_SLOPE,1,146,7.313487438644509,7.492318073594587,0.0
F06,ALL_A_MA20_SLOPE,2,93,5.415803018505557,5.471095294260242,0.0
F06,ALL_A_MA20_SLOPE,3,81,4.1712920921241725,3.843808869926806,0.0
F06,ALL_A_MA20_SLOPE,4,108,4.598038106327247,4.827092249127099,6.481481481481481
F06,ALL_A_MA20_SLOPE,5,116,4.9578906045769,5.5314891926970216,4.310344827586207
F08,BREADTH_UP1D,1,110,6.408469376429378,6.491524144100504,0.9090909090909091
F08,BREADTH_UP1D,2,96,5.280980697232583,5.103201410540132,3.125
F08,BREADTH_UP1D,3,102,4.876825385276535,5.020570252093343,3.9215686274509802
F08,BREADTH_UP1D,4,132,5.362412261088566,5.5076296217590155,1.5151515151515151
F08,BREADTH_UP1D,5,106,5.359796830980007,5.622769060196739,1.8867924528301887
F18,LIMIT_DOWN_SHARE,1,150,4.7918021400611375,4.8876198596797025,4.666666666666667
F18,LIMIT_DOWN_SHARE,2,89,5.334334594902158,5.158692678258137,0.0
F18,LIMIT_DOWN_SHARE,3,97,5.128668861657953,5.104061993561732,1.0309278350515463
F18,LIMIT_DOWN_SHARE,4,112,5.8916508721638365,5.889091394047403,1.7857142857142856
F18,LIMIT_DOWN_SHARE,5,98,6.473948703762283,6.438006194337788,2.0408163265306123
F21,CROSS_SECTION_P10_RET,1,114,6.3394600804593795,6.376220544573062,1.7543859649122806
F21,CROSS_SECTION_P10_RET,2,104,5.611204171199987,5.727983770212003,1.9230769230769231
F21,CROSS_SECTION_P10_RET,3,114,5.0614094020810265,4.864134643394731,2.631578947368421
F21,CROSS_SECTION_P10_RET,4,117,4.921082930801645,5.041906568978204,3.418803418803419
F21,CROSS_SECTION_P10_RET,5,97,5.425647345042684,5.511021560198752,1.0309278350515463
F07,BREADTH_MA20,1,114,7.242806260111106,7.35566086769483,0.0
F07,BREADTH_MA20,2,115,5.862619255510473,5.887347611212788,0.0
F07,BREADTH_MA20,3,95,4.7729347309202135,4.898655819070695,2.1052631578947367
F07,BREADTH_MA20,4,104,4.3080980147054415,4.677172120075019,8.653846153846153
F07,BREADTH_MA20,5,118,4.948870586306619,5.427832859115714,0.847457627118644
F05,ALL_A_DISTANCE_MA20,1,122,7.300195554274736,7.420142272334802,0.0
F05,ALL_A_DISTANCE_MA20,2,111,5.3380371828749364,5.5197106290370765,0.9009009009009009
F05,ALL_A_DISTANCE_MA20,3,103,4.7260542981561935,4.806937236327126,0.9708737864077669
F05,ALL_A_DISTANCE_MA20,4,99,4.578195766055431,4.83964859561738,10.1010101010101
F05,ALL_A_DISTANCE_MA20,5,111,5.064395420875012,5.48307579061766,0.0
F09,BREADTH_NEWLOW20,1,86,5.198140011830192,5.504704464884164,0.0
F09,BREADTH_NEWLOW20,2,107,4.7951824927453455,5.294631313016704,7.476635514018691
F09,BREADTH_NEWLOW20,3,120,5.3698215391157476,5.065845212351217,0.8333333333333334
F09,BREADTH_NEWLOW20,4,116,5.242739125895576,5.356201984194675,0.8620689655172413
F09,BREADTH_NEWLOW20,5,117,6.603914180755661,6.937827985063272,1.7094017094017095
F14,DOWN_VOL_SHARE,1,96,5.280589338601613,5.282761783939719,1.0416666666666665
F14,DOWN_VOL_SHARE,2,104,5.162080920397364,5.1290726285938275,4.807692307692308
F14,DOWN_VOL_SHARE,3,119,5.03478544057677,5.12340386360971,2.5210084033613445
F14,DOWN_VOL_SHARE,4,114,5.570722282580904,5.651596333356364,0.8771929824561403
