reverse_id,name,expected_direction,Q1_n,Q2_n,Q3_n,Q4_n,Q5_n,Q1_Y20,Q2_Y20,Q3_Y20,Q4_Y20,Q5_Y20,Q2_vs_Q4_ok
R01,ALL_A_EW_RET60,NEGATIVE,133,84,103,59,46,6.404870166356599,4.941564485660151,3.425353676229215,1.948920632202467,3.656199680761225,True
R02,ALL_A_EW_RET20,NEGATIVE,97,144,75,46,63,5.710157166147945,5.12181980737091,3.5394438127237042,3.407856337134722,3.004366751543085,True
R03,ALL_A_MA20_SLOPE,NEGATIVE,102,150,74,25,74,5.608225651721736,5.049225555893483,3.6017000993391646,2.863645033923508,3.180841853089538,True
R04,BREADTH_UP1D,NEGATIVE,111,79,69,66,100,5.226038017616797,4.8345587441798425,4.001291836154816,3.665865463175808,4.228654621774939,True
R05,LIMIT_DOWN_SHARE,POSITIVE,181,83,72,56,33,3.8811979314262177,4.025726331226832,5.667180134694558,4.3996378704082,6.420402383836712,True
R06,CROSS_SECTION_P10_RET,NEGATIVE,54,69,82,112,108,4.989930237603504,5.175692828914854,4.814500677993773,3.813921736057329,4.207358815998398,True
R07,BREADTH_MA20,NEGATIVE,116,103,73,54,79,5.445333716432996,5.48948619161617,4.628111780246942,3.156001621786014,2.500886630509959,True
