feature_id,block_L,spread_lo,spread_hi,spread_point
F01,21,-4.403041111067322,-0.9702868370411232,-2.655688967414001
F02,21,-4.891673942108165,-0.7715908265826862,-3.2011376502982163
F03,21,-1.622236877416609,1.8634480480768951,0.27512949882311677
F04,21,-3.5793573240476775,0.23562062089421834,-1.6963226445745132
F05,21,-3.881537432046323,-0.5163310327973542,-2.2358001333997235
F06,21,-4.298131457772208,-0.6227548961511479,-2.355596834067609
F07,21,-4.062879699548422,-0.6010417026419007,-2.293935673804487
F08,21,-1.631385130123188,-0.5407696816153179,-1.0486725454493708
F09,21,0.11162513991793542,2.717355833389419,1.4057741689254684
F10,21,-0.10926457654812141,2.466267890886209,1.1858779768563927
F11,21,0.35892358719544354,4.74115264464511,2.53893927944614
F12,21,0.48528649983700467,5.119871694583109,2.720374767938698
F13,21,-0.9836627468612874,2.8642689877340834,0.829977015506338
F14,21,0.07640408392911126,2.1102107350233226,0.9789155314638549
F15,21,-2.567101108035228,0.7025947384138367,-0.845014057148731
F16,21,-2.2589644729788905,1.3622361651889254,-0.19768979468727732
F17,21,-2.568326145644955,0.33682945999763525,-0.9756797511127209
F18,21,0.4816163019444832,3.099752969540996,1.6821465637011457
F19,21,0.05337090593036389,2.1395473562367204,0.9789155314638549
F20,21,0.2524068176393525,2.481785043640314,1.2649228277558109
F21,21,-1.7299019259834767,-0.26924781927791686,-0.9138127354166956
F22,21,-0.35969156514052875,1.5934645932377725,0.6003835956641712
F23,21,-0.46004769494544095,1.39175982503974,0.4615365067628785
F24,21,-0.2636846962617062,1.6101476055025,0.6960234774537595
F25,21,0.8849271270158586,3.818939254627492,2.249044787832272
F26,21,-0.5853853602129071,2.4007052317974518,1.07900998865105
F27,21,-5.161367594677093,2.8551355903444855,-0.9364205241556336
