feature_id,Y20_raw_p,Y20_BH_q,discovery_pass
F02,3.249212037137461e-05,0.0008772872500271145,False
F01,0.006738793967455692,0.04732396972044421,False
F06,0.008763698096378558,0.04732396972044421,False
F08,0.006795807977179047,0.04732396972044421,False
F18,0.007088218493890075,0.04732396972044421,False
F21,0.010701073351037538,0.04815483007966892,False
F07,0.012835617897190899,0.049508811889164894,False
F05,0.020519180397815084,0.06925223384262591,False
F09,0.025680943499973408,0.07704283049992022,False
F14,0.03750912546310481,0.0875314544290291,False
F19,0.03750912546310481,0.0875314544290291,False
F20,0.038902868635124044,0.0875314544290291,False
F10,0.05145804910555496,0.10687440968076799,False
F25,0.10862401971388946,0.20948918087678683,False
F04,0.1433042574789376,0.2579476634620877,False
F22,0.1990508764767669,0.33589835405454416,False
F11,0.22415536150723891,0.3560114565114971,False
F27,0.2597509977626855,0.36186335651115104,False
F23,0.24399752937237484,0.36186335651115104,False
F13,0.26804693074900077,0.36186335651115104,False
F26,0.32314455481489723,0.41547157047629646,False
F12,0.3648577071660415,0.44777991334014183,False
F03,0.4666418416109086,0.5477969444997622,False
F17,0.5103079544830771,0.5740964487934618,False
F24,0.6844048051681912,0.7391571895816466,False
F16,0.8072015414717055,0.8382477546052326,False
F15,0.8868274317468328,0.8868274317468328,False
