ts_code,pnl_sum,pct_of_total_pnl
300781.SZ,1208560.5170287213,0.11983609807631912
300461.SZ,1115893.120600081,0.11064756423756575
300808.SZ,1029471.0237428414,0.10207828969233486
300626.SZ,1019100.8497957212,0.1010500241113519
301020.SZ,1014270.0955164011,0.10057102555443855
002209.SZ,999463.6293894016,0.09910287472379493
688039.SH,999018.6040062013,0.09905874776058853
300503.SZ,964246.010496481,0.09561083442279097
600661.SH,947370.3228313208,0.09393750773897759
300823.SZ,943512.0574095008,0.09355493734471185
