validation_id,feature_id,lag,mean_ic,hac_t,raw_p
V01,F04,5,-0.07642169634073309,-3.87406921273002,0.0001070329928798408
V01,F04,10,-0.07642169634073309,-3.365734546941273,0.0007634013492499037
V01,F04,20,-0.07642169634073309,-3.037175699697458,0.0023880621510625755
V02,F06,5,-0.06122662612398834,-3.714217785373499,0.00020383319944894396
V02,F06,10,-0.06122662612398834,-3.3895396432740856,0.0007001008519857965
V02,F06,20,-0.06122662612398834,-3.1453067062611346,0.001659127918127723
V03,F07,5,-0.10509140519009462,-4.64451438591114,3.40877297100306e-06
V03,F07,10,-0.10509140519009462,-3.974090870436055,7.064858854310962e-05
V03,F07,20,-0.10509140519009462,-3.614445264958146,0.00030099139380457274
V04,F09,5,0.13440577814853977,6.718783705703036,1.832467511064806e-11
V04,F09,10,0.13440577814853977,5.916717176591999,3.2843072705901477e-09
V04,F09,20,0.13440577814853977,5.300109927790389,1.1573297720168796e-07
V05,F13,5,0.09663156918271978,5.463018763942005,4.681050991273139e-08
V05,F13,10,0.09663156918271978,4.887325805906387,1.0221486448358519e-06
V05,F13,20,0.09663156918271978,4.468454252947316,7.878685732043422e-06
