hypothesis_id,status,raw_p,bh_q_104
P0001,VALID_SAMPLE,0.44009987924112315,1.0
P0002,VALID_SAMPLE,0.551868907754526,1.0
P0003,VALID_SAMPLE,0.22792242007141383,0.877923395830631
P0004,VALID_SAMPLE,0.5106743720194117,1.0
P0005,VALID_SAMPLE,0.32106063119297984,0.9275084901130529
P0006,VALID_SAMPLE,0.745054175144661,1.0
P0007,INSUFFICIENT_SAMPLE,1.0,1.0
P0008,INSUFFICIENT_SAMPLE,1.0,1.0
P0009,VALID_SAMPLE,0.8082657835739221,1.0
P0010,VALID_SAMPLE,0.8227038038539597,1.0
P0011,VALID_SAMPLE,0.7982353471803181,1.0
P0012,VALID_SAMPLE,0.7109354075651492,1.0
P0013,VALID_SAMPLE,0.9972166754687959,1.0
P0014,VALID_SAMPLE,0.5699320054937045,1.0
P0015,VALID_SAMPLE,0.3923817047122349,1.0
P0016,VALID_SAMPLE,0.24380831146315524,0.9000575081516645
P0017,VALID_SAMPLE,0.3027097812446675,0.9000575081516645
P0018,VALID_SAMPLE,0.4080455952406871,1.0
P0019,VALID_SAMPLE,0.12114763854630278,0.5137827094928944
P0020,VALID_SAMPLE,0.2929925201180045,0.9000575081516645
P0021,VALID_SAMPLE,0.283739321015224,0.9000575081516645
P0022,VALID_SAMPLE,0.3414089639809343,0.9596360068653288
P0023,INSUFFICIENT_SAMPLE,1.0,1.0
P0024,INSUFFICIENT_SAMPLE,1.0,1.0
P0025,VALID_SAMPLE,0.03634644095892771,0.2700021328377487
P0026,VALID_SAMPLE,0.029494025276312234,0.2700021328377487
P0027,VALID_SAMPLE,0.006781624216930989,0.10075555979440326
P0028,VALID_SAMPLE,0.008083869950425938,0.10509030935553719
P0029,VALID_SAMPLE,0.12249567726136515,0.5137827094928944
P0030,VALID_SAMPLE,0.09285938090308843,0.46427309466895217
P0031,INSUFFICIENT_SAMPLE,1.0,1.0
P0032,INSUFFICIENT_SAMPLE,1.0,1.0
P0033,VALID_SAMPLE,0.07211808024247339,0.4195828323297036
P0034,VALID_SAMPLE,0.10734237501281689,0.5074366818787708
P0035,VALID_SAMPLE,0.033430943194145205,0.2700021328377487
P0036,VALID_SAMPLE,0.03502785796918583,0.2700021328377487
P0037,VALID_SAMPLE,0.07262010559552562,0.4195828323297036
P0038,VALID_SAMPLE,0.0937474518081538,0.46427309466895217
P0039,VALID_SAMPLE,0.091418915302507,0.46427309466895217
P0040,VALID_SAMPLE,0.20253508157521322,0.8101403263008529
P0041,INSUFFICIENT_SAMPLE,1.0,1.0
P0042,INSUFFICIENT_SAMPLE,1.0,1.0
P0043,INSUFFICIENT_SAMPLE,1.0,1.0
P0044,INSUFFICIENT_SAMPLE,1.0,1.0
P0045,INSUFFICIENT_SAMPLE,1.0,1.0
P0046,INSUFFICIENT_SAMPLE,1.0,1.0
P0047,INSUFFICIENT_SAMPLE,1.0,1.0
P0048,INSUFFICIENT_SAMPLE,1.0,1.0
P0049,VALID_SAMPLE,0.8223129161401613,1.0
P0050,VALID_SAMPLE,0.4334058419854437,1.0
P0051,VALID_SAMPLE,0.9679181646763726,1.0
P0052,VALID_SAMPLE,0.4287947048633675,1.0
P0053,INSUFFICIENT_SAMPLE,1.0,1.0
P0054,INSUFFICIENT_SAMPLE,1.0,1.0
P0055,INSUFFICIENT_SAMPLE,1.0,1.0
P0056,INSUFFICIENT_SAMPLE,1.0,1.0
P0057,VALID_SAMPLE,0.799140822582984,1.0
P0058,VALID_SAMPLE,0.2997223232466147,0.9000575081516645
P0059,VALID_SAMPLE,0.6918344914037392,1.0
P0060,VALID_SAMPLE,0.9475964804818924,1.0
P0061,VALID_SAMPLE,0.3029039690895025,0.9000575081516645
P0062,VALID_SAMPLE,0.6974168157004019,1.0
P0063,VALID_SAMPLE,0.8122356410010624,1.0
P0064,VALID_SAMPLE,0.8607085790996918,1.0
P0065,VALID_SAMPLE,0.123505459012715,0.5137827094928944
P0066,VALID_SAMPLE,0.6657608872701636,1.0
P0067,VALID_SAMPLE,0.048012577591343614,0.3328872046333157
P0068,VALID_SAMPLE,0.2618362403450546,0.9000575081516645
P0069,VALID_SAMPLE,0.06176019365426109,0.40144125875269704
P0070,VALID_SAMPLE,0.2695030105948282,0.9000575081516645
