feature_id,quintile,n_days,n_episodes,equal_day_mean_return_pct,positive_day_fraction,equal_day_mean_episode_win_rate_pct,episode_weighted_mean_return_pct,episode_weighted_win_rate_pct
F01,1,534,6733,4.508868933085556,0.8089887640449438,73.78129899893187,5.342031877242729,78.95440368335066
F01,2,534,6935,4.814172015609117,0.8520599250936329,76.07447664933586,5.605351468071121,79.66834895457822
F01,3,534,6944,4.427412578219743,0.8295880149812734,74.80304632675256,5.434610128966388,80.213133640553
F01,4,534,6935,4.461921566547134,0.8277153558052435,76.0980823813355,5.581489844760934,80.77865897620764
F01,5,534,7145,4.384052404077469,0.8352059925093633,75.531420085052,5.447112561812618,79.80405878236529
F02,1,534,6733,4.993380756640491,0.8014981273408239,72.71085587163384,6.019473272342978,77.60285162631814
F02,2,534,6935,4.988735246039112,0.8146067415730337,75.4092262951115,5.691135732715017,79.95674116798847
F02,3,534,6944,4.177872532445584,0.8314606741573034,74.67290014665609,5.488354095730146,80.64516129032258
F02,4,534,6935,4.051641484788571,0.8127340823970037,74.74989831383786,5.204090345252923,80.3604902667628
F02,5,534,7145,4.274461078364363,0.8408239700374532,77.46430215429152,5.039546520576106,80.78376487053885
F03,1,534,6733,4.919164624282952,0.797752808988764,70.82218322648046,6.24632802071575,76.0433684835883
F03,2,534,6936,4.858868253303086,0.8108614232209738,73.80263186998366,5.918019914425944,79.1955017301038
F03,3,534,6943,4.540266220643167,0.8277153558052435,75.95977718217577,5.4591460808027215,80.69998559700417
F03,4,534,6934,4.557412512396991,0.8539325842696629,77.9881961271696,5.375699332761839,82.27574271704644
F03,5,534,7146,3.7169019848343403,0.8314606741573034,76.70110279020427,4.467441088908194,81.08032465715085
F04,1,534,6733,4.936581702263961,0.7883895131086143,70.08777215109228,6.256366662581271,75.59780187137977
F04,2,534,6935,4.91006231085859,0.8164794007490637,74.41325882469187,5.980872554851546,79.36553713049747
F04,3,534,6944,4.64347647862059,0.8295880149812734,75.44408017385389,5.668568075453907,80.44354838709677
F04,4,534,6934,4.531742162215395,0.8370786516853933,77.39023209325197,5.220779740623172,81.91520046149408
F04,5,534,7146,3.5037481092337543,0.8277153558052435,77.56191326789636,4.34387150562149,81.93394906241254
