hypothesis_id,regime_dimension,regime_bin,oversold_bin,forward_horizon,n_stock_events,n_event_days,n_non_tradable_t1,status,mean_raw_return,benchmark,mean_regime_excess,median_regime_excess,stock_event_win_rate,daily_raw_positive_rate,daily_excess_positive_rate,hac_effect,hac_se,hac_t,raw_p,ci_lo,ci_hi,boot_p,nullA_p,nullC_p,nullB_p,nullB_note,nw_lag,bh_q
P0092,LIQUIDITY,NORMAL,B2,10D,74011,576,42,VALID_SAMPLE,-0.008653775391414957,-0.004230534650693526,-0.0044232407407214305,-0.0020179502542193688,0.5099106889516424,0.4600694444444444,0.4861111111111111,-0.023020223709010117,0.009261993102414271,-2.4854503187882493,0.013167535622660305,-0.008928493159306673,-0.00053065639511903,0.9895,0.0084,0.0344,1.0,STRUCTURAL_INVARIANT,6.0,0.08778357081773537
P0093,LIQUIDITY,NORMAL,B3,5D,22392,524,27,VALID_SAMPLE,-0.010366215287807897,-0.006917841206622212,-0.0034483740811856855,-0.000991984894920488,0.5512236513040372,0.4389312977099237,0.48854961832061067,-0.018381828779874165,0.006684699226290882,-2.749836328847608,0.006130132713706103,-0.006600643590873159,-0.0007143435561925642,0.991,0.0,0.02,1.0,STRUCTURAL_INVARIANT,6.0,0.05812820757369419
P0094,LIQUIDITY,NORMAL,B3,10D,22399,524,27,VALID_SAMPLE,-0.014552277140407858,-0.00878817028122094,-0.0057641068591869175,-0.0029279877497372132,0.5647573552390732,0.4122137404580153,0.4713740458015267,-0.030726024166740258,0.009126963156366866,-3.3665112524647514,0.0008066120617721245,-0.009922794002617984,-0.0020464319213037646,0.998,0.0,0.0154,1.0,STRUCTURAL_INVARIANT,6.0,0.03997435894180264
P0095,LIQUIDITY,NORMAL,B4,5D,4969,360,11,VALID_SAMPLE,-0.019496773053953618,-0.01397222191056839,-0.005524551143385228,0.0039971934345872494,0.5649023948480579,0.41944444444444445,0.5361111111111111,-0.02865057918546296,0.00910285049482291,-3.14742939058018,0.001758064115245272,-0.009562257093026168,-0.0021207129312944507,1.0,0.0066,0.0324,1.0,STRUCTURAL_INVARIANT,5.0,0.03997435894180264
P0096,LIQUIDITY,NORMAL,B4,10D,4973,360,11,VALID_SAMPLE,-0.023274015019723236,-0.016064238645175817,-0.0072097763745474185,0.0032109212255960508,0.5952141564448019,0.44722222222222224,0.5305555555555556,-0.03739023561683897,0.012026905739463897,-3.108882403073166,0.001998717947090132,-0.012096661555408039,-0.0027320555629098595,1.0,0.0186,0.0532,0.7,STRUCTURAL_INVARIANT,5.0,0.03997435894180264
P0097,LIQUIDITY,HIGH,B1,5D,18079,72,8,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0098,LIQUIDITY,HIGH,B1,10D,18079,72,8,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0099,LIQUIDITY,HIGH,B2,5D,9057,67,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0100,LIQUIDITY,HIGH,B2,10D,9057,67,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0101,LIQUIDITY,HIGH,B3,5D,3481,55,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0102,LIQUIDITY,HIGH,B3,10D,3479,55,2,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0103,LIQUIDITY,HIGH,B4,5D,988,40,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
P0104,LIQUIDITY,HIGH,B4,10D,987,40,0,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,,
