stop_pct,sample,stratum,n,mean_delta,trig_rate
-10.0,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-10.0,PRIMARY,-30to-20,7,20.579388582656804,100.0
-10.0,PRIMARY,-20to-10,16,10.332493196205307,100.0
-10.0,PRIMARY,-10to0,48,-1.446452960254127,83.33333333333334
-10.0,PRIMARY,0to5,75,-4.474510515126308,54.666666666666664
-10.0,PRIMARY,5to10,74,-4.903788382882367,36.486486486486484
-10.0,PRIMARY,10to20,58,-5.731229307092037,29.310344827586203
-10.0,PRIMARY,gt20,20,-9.864807845065616,30.0
-10.0,SECONDARY,lt-30,623,31.147181692504617,100.0
-10.0,SECONDARY,-30to-20,1228,16.99402800801251,100.0
-10.0,SECONDARY,-20to-10,3589,8.010698006518387,100.0
-10.0,SECONDARY,-10to0,14455,-1.9042843333312038,87.81736423382912
-10.0,SECONDARY,0to5,22345,-3.511706744050999,41.8348623853211
-10.0,SECONDARY,5to10,22828,-3.281049991431379,25.131417557385667
-10.0,SECONDARY,10to20,18727,-4.468502132706156,22.502269450525976
-10.0,SECONDARY,gt20,5251,-9.293578727834529,27.404303942106267
-12.5,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-12.5,PRIMARY,-30to-20,7,19.531674902364834,100.0
-12.5,PRIMARY,-20to-10,16,8.740404158769518,100.0
-12.5,PRIMARY,-10to0,48,-2.109899354065756,70.83333333333334
-12.5,PRIMARY,0to5,75,-3.871424088193709,41.333333333333336
-12.5,PRIMARY,5to10,74,-3.2816964701184466,22.972972972972975
-12.5,PRIMARY,10to20,58,-4.855259703967834,22.413793103448278
-12.5,PRIMARY,gt20,20,-10.326947183716715,30.0
-12.5,SECONDARY,lt-30,623,29.249223520981165,100.0
-12.5,SECONDARY,-30to-20,1228,15.083444072351533,100.0
-12.5,SECONDARY,-20to-10,3589,6.272411283224926,99.97213708553915
-12.5,SECONDARY,-10to0,14455,-2.794911437470984,78.46419923901765
-12.5,SECONDARY,0to5,22345,-2.964467539792239,30.36473484000895
-12.5,SECONDARY,5to10,22828,-2.559450333514226,17.750131417557384
-12.5,SECONDARY,10to20,18727,-3.6099150776142612,16.98082981790997
-12.5,SECONDARY,gt20,5251,-7.414081033462406,21.08169872405256
-15.0,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-15.0,PRIMARY,-30to-20,7,18.00670967261622,100.0
-15.0,PRIMARY,-20to-10,16,7.194661772903569,100.0
-15.0,PRIMARY,-10to0,48,-2.634019077676006,64.58333333333334
-15.0,PRIMARY,0to5,75,-4.405944835785758,40.0
-15.0,PRIMARY,5to10,74,-2.9925652864620385,18.91891891891892
-15.0,PRIMARY,10to20,58,-4.366017080926309,18.96551724137931
-15.0,PRIMARY,gt20,20,-5.674265422246782,15.0
-15.0,SECONDARY,lt-30,623,26.713599177239445,100.0
-15.0,SECONDARY,-30to-20,1228,13.148448018793907,100.0
-15.0,SECONDARY,-20to-10,3589,4.355237221301498,99.86068542769574
-15.0,SECONDARY,-10to0,14455,-3.2772494811177184,66.83500518851608
-15.0,SECONDARY,0to5,22345,-2.3951848306527923,21.4813157305885
-15.0,SECONDARY,5to10,22828,-2.046249696417877,12.90958472051866
-15.0,SECONDARY,10to20,18727,-2.958411673516039,13.01329631014044
-15.0,SECONDARY,gt20,5251,-6.565869786918037,17.939440106646355
-17.5,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-17.5,PRIMARY,-30to-20,7,15.961546835494204,100.0
-17.5,PRIMARY,-20to-10,16,5.23860126808059,100.0
-17.5,PRIMARY,-10to0,48,-3.717605866816298,62.5
-17.5,PRIMARY,0to5,75,-3.145380944163033,25.333333333333336
-17.5,PRIMARY,5to10,74,-2.2270474471874238,13.513513513513514
-17.5,PRIMARY,10to20,58,-3.9485841135380992,15.517241379310345
-17.5,PRIMARY,gt20,20,-5.802768978748866,15.0
-17.5,SECONDARY,lt-30,623,24.3564354505755,100.0
-17.5,SECONDARY,-30to-20,1228,11.218569767629273,100.0
-17.5,SECONDARY,-20to-10,3589,2.3695670794931045,99.21983839509613
-17.5,SECONDARY,-10to0,14455,-3.421489917977653,54.756139744033206
-17.5,SECONDARY,0to5,22345,-1.9306168262272565,15.238308346386217
-17.5,SECONDARY,5to10,22828,-1.6759934869913615,9.654809882600315
-17.5,SECONDARY,10to20,18727,-2.5040189485097586,10.30597532973781
-17.5,SECONDARY,gt20,5251,-5.790725842406777,15.254237288135593
-20.0,PRIMARY,lt-30,1,-1.7427723731542173,100.0
-20.0,PRIMARY,-30to-20,7,14.2911942545165,100.0
-20.0,PRIMARY,-20to-10,16,3.27157822228148,100.0
-20.0,PRIMARY,-10to0,48,-4.532512353264015,58.333333333333336
-20.0,PRIMARY,0to5,75,-2.4795090554096557,17.333333333333336
-20.0,PRIMARY,5to10,74,-1.3758406633675808,8.108108108108109
-20.0,PRIMARY,10to20,58,-2.7525427156900046,10.344827586206897
-20.0,PRIMARY,gt20,20,-6.064074510520998,15.0
-20.0,SECONDARY,lt-30,623,22.080904646712998,100.0
-20.0,SECONDARY,-30to-20,1228,9.167475227661823,100.0
-20.0,SECONDARY,-20to-10,3589,0.38138420323725924,97.38088604067985
-20.0,SECONDARY,-10to0,14455,-3.3516739701670732,43.64579730197163
-20.0,SECONDARY,0to5,22345,-1.5551631663612469,10.892817185052586
-20.0,SECONDARY,5to10,22828,-1.4327689202947205,7.5083231119677585
-20.0,SECONDARY,10to20,18727,-2.1070946083634126,8.14866235916057
