gate,slot_occ_days,capital_days,stock_pnl,pnl_per_slot_day,pnl_per_capital_day,cap_util_mean,fully_invested_pct,cash_constrained_pct
G0,2636.0,963700744.8830103,302950.9378612245,114.92827688210339,0.00031436204596687494,0.5961945214238673,0.0,33.415841584158414
G1_EO,2482.0,868694854.3600218,-113849.7165206263,-45.87015170049408,-0.00013105835259551616,0.626184480707238,0.0,43.976897689768975
G1_EA,2496.0,861711041.1871449,76617.29469676377,30.69603152915215,8.891297782515492e-05,0.5995300391190307,0.0,38.53135313531354
G2,2632.0,907434601.7739844,204965.66326257394,77.87449212103873,0.000225873757581954,0.5780205064975048,2.145214521452145,29.125412541254125
G4_EO,2648.0,874576184.6754261,-3663.118018245703,-1.3833527259236038,-4.1884493111428185e-06,0.6366743803491637,0.0,43.72937293729373
G4_EA,2602.0,892693366.0392537,-63180.29825462552,-24.281436685098203,-7.07749162906262e-05,0.6485340214777618,0.4125412541254125,46.36963696369637
