episode_id,level,layer_pnl,layer_return_pct
0,1,6368.914545840031,3.201901822372144
0,2,12229.509256560006,6.164635845980902
1,1,11152.080763020087,5.614556015170347
1,2,20308.07451456008,10.190988661860334
1,3,39467.12819760005,19.761092875917907
1,4,47699.86600260006,23.929991678560626
2,1,6387.973052219953,3.2396956676295363
3,1,16543.11587328001,8.355437860095789
4,1,16185.231259200023,8.16654508112372
5,1,-73808.91802943998,-37.47560633350416
5,2,-63090.428338079975,-32.10785234623742
5,3,-31092.908418000006,-15.715471958782912
5,4,-22988.709265500016,-11.493967100069108
5,5,-8354.04073020001,-4.214966263439273
6,1,6772.520094120031,3.3955801711335427
7,1,-14651.264103299967,-7.412965344542294
7,2,24951.96752994004,12.604157024207968
8,1,-18324.499665779993,-9.168458516820998
8,2,5756.614756199997,2.882900795443533
8,3,19797.22311336003,9.903781164686416
8,4,26349.204419999995,13.171190874987884
8,5,30692.004650999996,15.353555437315478
9,1,-3542.94729359998,-1.8061803271225367
9,2,7925.647567500011,4.097138593687355
10,1,16785.95884416008,8.544156277583642
10,2,26346.089543400012,13.562666054450393
10,3,22651.43918399996,11.443059389094156
11,1,-14009.421018239955,-7.397074182190116
11,2,1525.489284600044,0.7890052777270987
11,3,7082.483727600018,3.771564484825914
11,4,19388.329691940016,9.94439565658739
11,5,42417.673040880036,22.158906095462598
12,1,-21178.81783313997,-10.625648957993084
12,2,-15704.927991719975,-8.101839158681868
12,3,1370.6408865600242,0.7103132507595967
12,4,19434.453641459986,10.17012674934942
12,5,26942.98073543998,13.486361970754896
13,1,-69868.96646723997,-35.0023446078417
13,2,-50838.098939999996,-25.466638424916923
13,3,-52241.47957259996,-26.2983808355502
13,4,-44410.97370060001,-22.30018842336111
13,5,-4136.839723440004,-2.075196283148675
14,1,-30110.50988550001,-15.073008063281023
14,2,12880.058091120009,6.455809645780258
14,3,31089.11056812,15.588747738715828
15,1,30657.52661328003,15.403895272762636
16,1,-3715.089721199998,-1.8654668855263752
16,2,34591.04247456,17.301434113394254
16,3,45119.502867780044,22.568029114403817
17,1,-28396.358796960005,-14.288040347077951
17,2,-8699.109568379994,-4.369532641422082
17,3,15721.110801000003,7.900036755527537
18,1,18609.671133900032,9.408709814806157
18,2,99132.65754084007,49.77771838493593
18,3,147764.5173219601,74.89015020995515
19,1,-60968.85213275996,-30.68261911305624
19,2,-53473.42214873995,-27.211505253811836
19,3,-16987.528530719952,-8.618381984448753
20,1,16114.407360480021,8.142657083681442
20,2,18379.2580686,9.394608004011475
21,1,14218.952334479982,7.18749636223901
22,1,6024.435667020036,3.0803368989175195
22,2,12658.878293760034,6.476918491816276
23,1,-54850.876649099955,-27.99991683661427
23,2,-46540.00202291997,-23.307838246317417
23,3,-38456.21787839997,-19.26169209963366
23,4,-31740.96091193997,-16.11495104557603
23,5,-16905.068768700003,-8.527167071971332
24,1,2270.266720200045,1.1513314825416343
24,2,12612.251081880037,6.372233540031525
25,1,22020.486865200015,11.08646263720554
26,1,5448.479601600033,2.7449665775735066
26,2,10168.592500619998,5.150963193006692
26,3,20856.56061600003,10.552334858544137
27,1,24123.425863679993,12.104633410839133
28,1,9352.596554999996,5.26080633453274
28,2,29311.88372315996,15.012815192172047
29,1,-5521.982931359991,-3.250101690414422
29,2,-2446.1114126399916,-1.4662652785029198
29,3,26249.248544400034,14.64592698573296
30,1,21896.216056440026,11.89884859958246
31,1,9106.343789400009,4.846726284876112
31,2,11475.651432960032,5.776818211596799
32,1,-9250.490551680006,-4.632301398941598
32,2,27682.92768600004,13.843492062232137
33,1,3772.3856860800297,1.8869321797292382
33,2,14218.945044480002,7.11190306074098
34,1,37543.62380832003,18.801769360068377
35,1,41574.152777220006,21.576504096184497
35,2,63358.492681260075,31.92542430682601
36,1,31469.935962240037,16.23467230378328
37,1,-36932.62872725993,-19.55631450159871
37,2,-24226.084275839967,-12.244732560549703
37,3,-22976.51147135996,-11.686966030214212
37,4,1248.5310111000435,0.6433164207838797
37,5,9340.716432420042,5.02229302555465
38,1,14287.168380420073,7.772649549904674
39,1,-31873.696591860004,-17.685321114911723
39,2,-24401.355575399997,-12.894519698319279
39,3,-16906.98683321994,-8.52908224792943
39,4,-5904.137836079986,-3.153504458981958
39,5,-3701.36526407997,-2.0005013571185284
40,1,-12478.270895639958,-6.347117302620448
40,2,-9592.638826319948,-4.952015229234416
40,3,-792.5624011799227,-0.42861658536986497
40,4,3809.2693651200098,1.9331680578185806
41,1,23150.60168147998,11.733804936305349
41,2,27622.23000264002,14.324898551795442
42,1,-8948.597713199997,-4.8580389999534255
42,2,-1065.4087850999495,-0.54962178875811
43,1,3988.292631840013,2.0467344270880172
43,2,19992.37594068004,10.230047884542005
43,3,29286.073674000043,15.73384188381215
44,1,-3729.1192646399722,-1.9705955132983959
