version,slippage_bp,total_return_pct,mdd_pct,sharpe,trades,stock_pnl
B0,20,29.906862257588074,-28.6534966963289,0.3427462671082092,75,299068.6225758813
B0,50,3.6373664978202935,-36.82244756082118,0.15647572863414458,76,36373.664978203204
B1,20,-7.985934478473922,-39.95291499699253,0.07067987204997121,69,-79859.34478473914
B1,50,-14.284886246689743,-43.04130489600393,0.00806107573633188,68,-142848.8624668977
B2,20,-90.83917144672998,-92.8787463828422,-0.5694955755482689,55,-508311.36461474013
B2,50,-94.37105435393984,-95.54032063783832,-0.6014169265232431,55,-543630.6197975987
B2,100,-95.66963287461999,-96.44940877745405,-0.7433996301322724,55,-646901.3229814002
